case_number,year,century,sex,age,country,area,location,activity,type_attack,species
1972.05.06,1972,XX,Male,Young,French Polynesia,Tuamotus,Ah� Atoll,Spearfishing,Unprovoked,1.5 m grey reef shark
1972.04.16,1972,XX,Male,Young,Western Samoa,Upolu Island,Nu�ulua,Swimming,Unprovoked,Thought to involve a tiger shark
1972.04.01.b,1972,XX,Female,Unknown,Australia,Queensland,Wellington Point,Unknown,Unprovoked,Unknown
1972.04.01.a,1972,XX,Male,Teen,Mozambique,Gaza,Xai Xai,Swimming,Unprovoked,Unknown
1972.03.21,1972,XX,Male,Adult,Pacific Ocean,Unknown,Unknown,Fishing,Provoked,Unknown
1972.03.16,1972,XX,Male,Unknown,Usa,Hawaii,"Waihe'e, Wailuku, Maui",Spearfishing,Unprovoked,Unknown
1972.02.20,1972,XX,Male,Teen,Australia,Victoria,"Wilson's Promontory, Waratah Bay",Surfing,Unprovoked,7' shark
1972.02.12,1972,XX,Unknown,Unknown,Australia,Tasmania,Elliot's Cove,Unknown,Unprovoked,Unknown
1972.01.01.c,1972,XX,Male,Young,South Africa,Eastern Cape Province,St. George�s Strand,Swimming,Unprovoked,Unknown
1972.01.01.b,1972,XX,Female,Young,South Africa,KwaZulu-Natal,Kosi Bay,Sitting in shallows,Unprovoked,Zambesi shark
1972.01.01.a,1972,XX,Male,Young,Mozambique,Gaza,Xai Xai,Standing,Unprovoked,"White shark, 2.5 m [8.25'] "
1972.00.00.b,1972,XX,Unknown,Unknown,France,Antibes,Unknown,Swimming,Unprovoked,White shark
1972.00.00.a,1972,XX,Male,Unknown,Marshall Islands,Illeginni Atoll,Unknown,"Free diving, collecting shells",Unprovoked,1.8 m [6'] grey reef shark
1971.12.23,1971,XX,Unknown,Young,Australia,New South Wales,Smokey Cape,Unknown,Unprovoked,Unknown
1971.12.16,1971,XX,Female,Teen,South Africa,Western Cape Province,"Fish Hoek, False Bay",Swimming,Unprovoked,"White shark, 3 m [10']rk"
1971.12.05,1971,XX,Male,Young,Australia,Queensland,Gladstone,Unknown,Unprovoked,Unknown
1971.11.27,1971,XX,Male,Young,Hong Kong,Mirs Bay ,Unknown,Freedom Swimming,Unprovoked,Unknown
1971.11.25.R,1971,XX,Unknown,Young,Australia,New South Wales,"Marineland, Sydney",Unknown,Provoked,Unknown
1971.10.23,1971,XX,Male,Teen,Usa,Florida,"Ft. Pierce, St Lucie County",Surfing,Unprovoked,5' to 6' shark
1971.10.14,1971,XX,Male,Young,South Africa,KwaZulu-Natal,"North Beach, Durban",Swimming,Unprovoked,1.5 m to 2 m shark
1971.10.02,1971,XX,Male,Young,Usa,California,"Sea Ranch, Sonoma County",Scuba diving,Unprovoked,"White shark, 5 m to 6 m [16.5' to 20']  "
1971.09.25,1971,XX,Unknown,Teen,Usa,North Carolina,"Emerald Isle, Carteret County",Surfing,Unprovoked,Unknown
1971.09.07,1971,XX,Male,Adult,Croatia,Istria County,Ika,Swimming,Unprovoked,White shark
1971.09.05,1971,XX,Male,Adult,Australia,South Australia,Adelaide,Fishing,Unprovoked,Unknown
1971.08.21,1971,XX,Male,Young,Australia,New South Wales,"Manly Marineland, Sydney",Scuba diving & feeding fish,Provoked,"Grey nurse shark, 11'"
1971.07.26,1971,XX,Male,Children,Usa,Florida,"Daytona Beach, Volusia County",Wading,Unprovoked,Unknown
1971.07.19,1971,XX,Male,Unknown,Usa,California,"Point Purisima, Santa Barbara County",Hookah diving (submerged),Unprovoked,"White shark, 5.5 m to 6 m [18' to 20'] "
1971.06.30,1971,XX,Male,Young,South Africa,Western Cape Province,Mossel Bay,Surfing,Unprovoked,"White shark, 3 m [10'], species identity confirmed by witnesses & tooth pattern in leg & board "
1971.06.01,1971,XX,Male,Adult,British Isles,South Devon,Beesands,Scuba diving,Unprovoked,3.6 m  porbeagle shark
1971.04.16R,1971,XX,Male,Teen,Kenya,Coast Province,Watamu,Swimming,Unprovoked,"2 m [6'9""] shark"
1971.04.11,1971,XX,Male,Adult,South Africa,Western Cape Province,Buffels Bay,Swimming,Unprovoked,White shark according to tooth pattern and witnesses
1971.04.06,1971,XX,Male,Teen,Mexico,Guerrero,"Copacabana Beach, Acapulco",Surfing,Unprovoked,Unknown
1971.04.05.b,1971,XX,Male,Teen,Venezuela,Unknown,Unknown,Unknown,Unprovoked,Unknown
1971.04.05.a,1971,XX,Male,Senior,Venezuela,Unknown,Unknown,Unknown,Unprovoked,Unknown
1971.04.00,1971,XX,Unknown,Unknown,Mozambique,Between Beira & Maputo,Unknown,Wreck of the 1689-ton Portuguese  coaster Angoche,Sea Disaster,Unknown
1971.03.30,1971,XX,Male,Teen,New Zealand,South Island,Dunedin,Surfing,Unprovoked,"White shark, 4.6 m [15'] "
1971.01.02,1971,XX,Male,Unknown,Australia,Tasmania,Unknown,Swimming,Unprovoked,Unknown
1971.00.00.c,1971,XX,Male,Teen,Australia,South Australia,Southport,Surfing,Unprovoked,White shark
1971.00.00.b,1971,XX,Male,Unknown,Iran,Khuzestan Province,"Ahvaz, on the Karun River",Unknown,Unprovoked,Unknown
1971.00.00.a,1971,XX,Male,Unknown,Iran,Khuzestan Province,"Ahvaz, on the Karun River",Unknown,Unprovoked,Unknown
1970.12.17,1970,XX,Male,Teen,Mozambique,Inhambe Province,"Inhasoka, Inhambe Bay",Fishing for prawns,Unprovoked,Unknown
1970.12.13,1970,XX,Male,Old,Mozambique,Inhambe Province,"Inhambe Bay Estuary, 10 to 12 miles inland from the sea",Fishing for prawns,Unprovoked,Unknown
1970.12.07,1970,XX,Male,Unknown,Micronesia,Namonuito Atoll,Pisarach (Pisaras),Fishing,Unprovoked,1.8 m shark
1970.12.03,1970,XX,Male,Adult,Usa,Hawaii,Kauai,Shipwreck,Sea Disaster,Unknown
1970.11.00,1970,XX,Male,Unknown,Nan,Unknown,Unknown,Unknown,Unprovoked,Unknown
1970.10.24,1970,XX,Male,Unknown,Usa,Hawaii,"Brennecke Beach, Po'ipu, Kaua'i",Body surfing,Unprovoked,Unknown
1970.10.00,1970,XX,Male,Unknown,Usa,Florida,"Matanzas Inlet, St Johns County",Surfing,Unprovoked,Unknown
1970.09.28,1970,XX,Male,Adult,Micronesia,Eastern Caroline Islands,Truk Lagoon,Diving,Unprovoked,1.8 to 2 m C. albimarginatus
1970.09.13,1970,XX,Male,Young,Palau,Western Caroline Islands (North Pacific Ocean),Outside barrier reef,Spearfishing,Provoked,1 m shark
1970.09.05,1970,XX,Male,Teen,Usa,Florida,"Cocoa Beach, Brevard County",Floating on a raft,Unprovoked,Unknown
1970.09.02,1970,XX,Male,Young,Australia,New South Wales,"Marineland, Sydney",Unknown,Provoked,Unknown
1970.09.00.c,1970,XX,Male,Unknown,Usa,South Carolina,Unknown,Swimming,Unprovoked,"""Dog shark"""
1970.09.00.a,1970,XX,Male,Unknown,Usa,Florida,Pinellas County,Scuba diving,Unprovoked,Unknown
1970.08.02,1970,XX,Unknown,Unknown,Nan,Caribbean Sea,Between St. Kitts & Nevis,Sea Disaster Sinking of ferryboat Christina,Invalid,Unknown
1970.07.05,1970,XX,Male,Unknown,Nan,Unknown,Unknown,Unknown,Unprovoked,Mako shark
1970.06.22,1970,XX,Male,Teen,Usa,Florida,"Dania, Broward County",Fishing,Provoked,7.5' shark
1970.06.15,1970,XX,Male,Young,South Africa,KwaZulu-Natal,"Shark tank, Oceanographic Research Institute, Durban",Scuba Diving,Provoked,"Raggedtooth shark, 2 m [6'9""], 5-year-old, captive female "
1970.06.13.b,1970,XX,Male,Teen,Grenada,St. Andrew Parish,Grenville,Wading,Unprovoked,Unknown
1970.06.13.a,1970,XX,Male,Teen,Grenada,St. Andrew Parish,Grenville,Wading,Unprovoked,Unknown
1970.06.00,1970,XX,Unknown,Unknown,Philippines,200 nm southeast of Manila,Unknown,Motor launch Baby Princesa capsized with 22 people on board,Sea Disaster,Unknown
1970.04.04,1970,XX,Male,Teen,Grenada,St. Andrew Parish,Grenville,Swimming,Unprovoked,Unknown
1970.04.00.b,1970,XX,Male,Unknown,Nan,Unknown,Unknown,Freediving,Provoked,Wobbegong shark 
1970.04.00.a,1970,XX,Male,Unknown,Solomon Islands,Unknown,Unknown,Swimming,Unprovoked,Wobbegong shark
1970.03.31,1970,XX,Male,Unknown,Usa,Hawaii,"Waimea Bay, O'ahu",Body surfing,Invalid,5.5 m [18'] shark seen in the vicinity
1970.03.23,1970,XX,Male,Teen,Usa,Florida,Manatee County,Wading,Unprovoked,Unknown
1970.02.05,1970,XX,Female,Children,Nan,Unknown,Unknown,Wading,Unprovoked,Carpet shark
1970.01.23.d,1970,XX,Male,Teen,Mozambique,Limpopo River,3.2 km inland,Swimming,Unprovoked,Unknown
1970.01.23.c,1970,XX,Male,Teen,Mozambique,Limpopo River,"Gijana, 150 km inland",Swimming,Unprovoked,Zambesi shark
1970.01.23.b,1970,XX,Male,Teen,Mozambique,Limpopo River,"Gijana, 150 km inland",Swimming,Unprovoked,Zambesi shark
1970.01.23.a,1970,XX,Male,Children,Mozambique,Limpopo River,"Gijana, 150 km inland",Swimming,Unprovoked,Zambesi shark
1970.01.16,1970,XX,Male,Unknown,Egypt,Red Sea,A few miles south of Port Suez,Air disaster,Sea Disaster,Unknown
1970.01.10,1970,XX,Male,Young,Mexico,Guerrero,Acapulco,Swimming,Unprovoked,Unknown
1970.01.09.R,1970,XX,Male,Unknown,England,Devon,Teignmouth,Attempted to return injured shark to the sea,Unprovoked,8' blue shark
1970.01.00,1970,XX,Male,Teen,Papua New Guinea,New Ireland Province,Unknown,Freediving,Unprovoked,Unknown
1970.00.00.h,1970,XX,Male,Unknown,Sri Lanka,Western Province,Colombo Harbor,Spearfishing / freediving,Unprovoked,Unknown
1970.00.00.g,1970,XX,Male,Unknown,Spain,Canary Islands,"Icod de los Vinos, Tenerife",Spearfishing,Unprovoked,Blue shark
1970.00.00.f,1970,XX,Male,Unknown,Italy,Sardinia,Golfo di Oristano,Fishing on a boat,Boating,White shark
1970.00.00.e,1970,XX,Male,Unknown,Croatia,Zadar County,Novigrad,Spearfishing,Unprovoked,White shark
1970.00.00.d,1970,XX,Female,Young,Iraq,Basrah,Shatt-al-Arab River,Washing cooking pans,Unprovoked,Unknown
1970.00.00.c,1970,XX,Female,Young,Iraq,Basrah,Shatt-al-Arab River near Abu al Khasib,Washing clothes on stairs,Unprovoked,Unknown
1970.00.00.b,1970,XX,Male,Adult,Iraq,Basrah,Shatt-al-Arab River,Swimming,Unprovoked,Unknown
1970.00.00.a,1970,XX,Male,Adult,Iraq,Basrah,Shatt-al-Arab River,"Fishing, trying to catch the end of his fishing line",Unprovoked,Unknown
1969.11.30,1969,XX,Male,Teen,Australia,Western Australia,"Swan River, 13 miles upstream",Swimming,Unprovoked,Unknown
1969.11.11,1969,XX,Male,Unknown,Usa,Hawaii,"Barber�s Point, O'ahu",Scuba diving for lobsters,Unprovoked,>2.4 m [8'] shark
1969.11.05,1969,XX,Male,Young,Australia,New South Wales,"Marineland, Sydney",Unknown,Provoked,Unknown
1969.10.14,1969,XX,Male,Unknown,Usa,Hawaii,Hawaii,Diving,Unprovoked,Oceanic whitetip shark
1969.09.06,1969,XX,Male,Adult,Usa,California,"Bird Rock, Tomales Point, near Marin County / Sonoma County border",Free diving for abalone,Unprovoked,"White shark, 4.3 m 4.9 m [14' to 16'] "
1969.08.29,1969,XX,Male,Unknown,Usa,Florida,"North Beach, St. Lucie County",Floating on his back,Unprovoked,Unknown
1969.08.22,1969,XX,Male,Young,Usa,Massachusetts,40 miles south of Nantucket,Fishing,Provoked,Unknown
1969.08.02,1969,XX,Male,Teen,Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Unknown
1969.08.01,1969,XX,Male,Teen,Usa,Florida,"St. Petersburg, Pinnellas County",Body surfing,Unprovoked,4' shark
1969.08.00,1969,XX,Male,Young,Nan,Unknown,Unknown,Unknown,Unprovoked,Unknown
1969.07.27,1969,XX,Male,Unknown,England,Unknown,Unknown,Unknown,Provoked,Unknown
1969.07.22,1969,XX,Male,Teen,Usa,Florida,Florida Keys,Unknown,Provoked,Nurse shark
1969.07.20,1969,XX,Male,Unknown,Usa,California,"Pigeon Point, San Mateo County",Freediving for abalone (at surface),Unprovoked,"White shark, 5 m [16.5'] "
1969.06.27,1969,XX,Male,Young,Usa,Florida,Florida Keys,Wading,Unprovoked,Unknown
1969.06.12,1969,XX,Male,Young,Jamaica,Clarendon,Off Rocky Point,Diving,Unprovoked,Unknown
1969.06.00,1969,XX,Male,Children,Usa,Florida,Sarasota County,Wading,Unprovoked,Unknown
1969.05.25,1969,XX,Male,Unknown,Usa,Texas,Packery Channel,Surf-fishing,Provoked,2' to 3' shark
1969.05.24,1969,XX,Male,Young,Usa,Florida,Sarasota County,Diving,Provoked,Nurse shark
1969.05.22,1969,XX,Male,Teen,Dominican Republic,Unknown,Unknown,Surfing,Unprovoked,Unknown
1969.05.14,1969,XX,Unknown,Unknown,Australia,Queensland,Broomfield Reef,Unknown,Unprovoked,Unknown
1969.04.22,1969,XX,Male,Unknown,Australia,New South Wales,"Kingscliffe Beach, south of Tweed Heads",Netting pilchards,Invalid,"Considered a ""Doubtful"" incident"
1969.04.19,1969,XX,Male,Adult,Usa,Florida,"Marathon, Monroe County",Fishing,Provoked,"Lemon shark, 9' "
1969.03.25,1969,XX,Male,Senior,Australia,New South Wales,Newcastle,Unknown,Provoked,Mako shark
1969.03.09,1969,XX,Male,Teen,Usa,Hawaii,"Makaha, O'ahu",Surfing,Unprovoked,"White shark, identified by tooth fragments in surfboard"
1969.02.17.R,1969,XX,Male,Adult,Australia,Tasmania,Taroona,Fishing,Provoked,7-gill shark
1969.02.00,1969,XX,Male,Adult,Australia,Queensland,Cooktown,Hard hat diving,Invalid,Unconfirmed incident
1969.01.27,1969,XX,Male,Young,Australia,New South Wales,Beecroft Head,Freediving,Unprovoked,Unknown
1969.01.00,1969,XX,Male,Unknown,Australia,Victoria,Port MacDonnel,Unknown,Unprovoked,Carpet shark
1969.00.00,1969,XX,Unknown,Unknown,Bahamas,Eleuthera,Unknown,Sight-seeing,Provoked,10' shark
1968.12.29,1968,XX,Male,Unknown,South Africa,KwaZulu-Natal,Port St. John's,Freediving,Invalid,Unknown
1968.12.26,1968,XX,Male,Young,Australia,New South Wales,"Marineland Aquarium, Manley, Sydney",Feeding mullet to sharks,Provoked,"Grey nurse shark, 10' "
1968.12.25,1968,XX,Male,Teen,New Zealand,South Island,"St. Clair Beach, Dunedin",Surfing,Unprovoked,White shark
1968.12.09,1968,XX,Male,Unknown,Australia,South Australia,Thistle Island,Unknown,Unprovoked,White shark
1968.12.02,1968,XX,Male,Young,South Africa,KwaZulu-Natal,"Bluff, Durban",Spearfishing,Unprovoked,"2 scalloped hammerhead sharks, 1.5 m & 1.8 m [5' & 6']"
1968.12.00,1968,XX,Male,Young,South Africa,KwaZulu-Natal,Unknown,Unknown,Invalid,Unknown
1968.11.06,1968,XX,Male,Young,South Africa,KwaZulu-Natal,Ramsgate,Fishing,Boating,"90-kg ""blackfin"" shark"
1968.11.02,1968,XX,Male,Teen,Australia,Western Australia,Unknown,Unknown,Provoked,Unknown
1968.10.29,1968,XX,Male,Unknown,Bahamas,Unknown,Unknown,Unknown,Provoked,Unknown
1968.10.13,1968,XX,Male,Unknown,Usa,Florida,"Egmont Key, Hillsborough County",Spearfishing using Scuba,Unprovoked,3 m [10'] bull shark
1968.10.10,1968,XX,Unknown,Unknown,Philippines,Moro Gulf,Unknown,Sinking of the ferryboat Dumaguete ,Sea Disaster,Unknown
1968.09.22,1968,XX,Unknown,Unknown,Usa,Florida,"Riviera Beach, Palm Beach County",Surfing,Invalid,Shark involvement not confirmed
1968.09.15,1968,XX,Male,Young,New Zealand,South Island,Otago Harbor,Spearfishing,Unprovoked,"White shark, 4.3 m [14'], (tooth fragment recovered)"
1968.08.24,1968,XX,Unknown,Old,Usa,Florida,Half mile north of Juno Beach Pier,Playing with a frisbee in the shallows,Unprovoked,a small hammerhead shark
1968.08.21,1968,XX,Male,Teen,Usa,Florida,Okaloosa County,Standing,Unprovoked,Unknown
1968.08.13,1968,XX,Male,Teen,French Polynesia,Society Islands,Tahiti,Swimming,Unprovoked,Unknown
1968.08.11,1968,XX,Unknown,Adult,Malaysia,Johor,Pulau Aur,Leaving the water,Unprovoked,Unknown
1968.08.08,1968,XX,Male,Teen,Columbia,Magdalena Department,"Makuaka Ca�o, Taganga",Dynamite fishing,Unprovoked,2 m shark
1968.07.27,1968,XX,Male,Young,Usa,California,"Bodega Rock, Sonoma County",Free diving,Unprovoked,"White shark, 4 m [13'] "
1968.07.23,1968,XX,Male,Adult,Usa,Florida,Florida Keys,Wading,Unprovoked,Unknown
1968.07.16,1968,XX,Male,Adult,Usa,South Carolina,"Stono Inlet, near Charleston, Charleston County",Spearfishing using Scuba,Unprovoked,4m [13'] shark
1968.07.10,1968,XX,Male,Unknown,Bahamas,Great Exuma Island,Children's Bay Cay near Rollerville,Small boat with 2 men onboard hit a submerged coral formation. Men began swimming to shore,Unprovoked,Unknown
1968.07.00,1968,XX,Male,Adult,Mexico,Baja California,Unknown,Unknown,Invalid,Not authenticated
1968.06.25,1968,XX,Male,Teen,Bahamas,Eleuthera,Spanish Wells ,Spearfishing,Unprovoked,1.5 m to 2 m [5' to 6.75'] Caribbean reef shark 
1968.06.09,1968,XX,Male,Teen,Usa,Florida,"Mullet Key, Pinellas County",Clamming,Unprovoked,Unknown
1968.06.00,1968,XX,Male,Unknown,England,Unknown,Unknown,Unknown,Unprovoked,Blue shark
1968.05.18,1968,XX,Unknown,Unknown,Tanzania,Mafia Island,Unknown,Schooner sank during a storm,Invalid,Shark involvement not confirmed
1968.05.00,1968,XX,Male,Teen,Papua New Guinea,New Ireland Province,Unknown,Standing,Unprovoked,Unknown
1968.04.29,1968,XX,Male,Senior,Usa,Florida,"Fort Lauderdale, Broward County",Wading,Invalid,Shark involvement not confirmed
1968.04.20,1968,XX,Male,Children,Usa,Florida,"Palm Beach Shores, Riviera Beach, Singer Island, Palm Beach County",Unknown,Unprovoked,2.7 m [9'] silky shark
1968.04.15,1968,XX,Male,Young,Australia,New South Wales,South Coast,"Diving. Shark �swallowed� his hand, so he threw his other around the shark and went �shark-back riding� for 30 yards until the shark opened its jaws",Unprovoked,"Bronze whaler shark, 1.8 m [6'] "
1968.04.11.R,1968,XX,Male,Children,Papua New Guinea,Gulf Province,Orokolo Bay,Swimming,Unprovoked,Unknown
1968.04.07,1968,XX,Male,Adult,Australia,New South Wales,Stockton Bight,Unknown,Provoked,"""Blue whaler"" (Galeolamna)"
1968.03.25,1968,XX,Male,Adult,South Africa,KwaZulu-Natal,Richards Bay,Wading & pushing dinghy toward  the shallows,Unprovoked,1.5 m to 1.8m [5' to 6'] shark
1968.03.10,1968,XX,Male,Young,Usa,Florida,"Jensen Beach, Martin County",Surfing,Unprovoked,Unknown
1968.03.00,1968,XX,Male,Young,Usa,Florida,Florida Keys,Treading water,Invalid,Unknown
1968.02.26,1968,XX,Male,Teen,Usa,Florida,Palm Beach County,Surfing,Unprovoked,Bull shark
1968.02.20,1968,XX,Female,Teen,Australia,Western Australia,Swan River,Swimming,Unprovoked,Unknown
1968.02.18,1968,XX,Female,Unknown,New Zealand,North Island,"Pilot Bay, Mt Maunganui ",Picking up shark by the tail,Provoked,3' shark
1968.02.04,1968,XX,Male,Young,Australia,South Australia,Cape Jervis,Spearfishing,Unprovoked,"Bronze whaler shark, 3 m [10'] "
1968.02.02,1968,XX,Unknown,Unknown,Australia,New South Wales,Brunswick Heads,Unknown,Unprovoked,Unknown
1968.02.00,1968,XX,Unknown,Young,Mozambique,Unknown,Unknown,Diving,Unprovoked,Unknown
1968.01.17,1968,XX,Unknown,Teen,Papua New Guinea,Morobe Province,Finschafen,Swimming,Unprovoked,Unknown
1968.00.00.c,1968,XX,Male,Unknown,Costa Rica,Lim�n Province,Parismina,Swimming after his canoe capsized,Unprovoked,Unknown
1968.00.00.b,1968,XX,Unknown,Unknown,Usa,Florida,"Key West, Monroe County",Diving,Invalid,"Nurse shark, 1 m "
1968.00.00.a,1968,XX,Unknown,Unknown,Usa,Florida,"Jensen Beach, Martin County",Surfing,Invalid,Unknown
1967.12.30,1967,XX,Male,Young,South Africa,Western Cape Province,Mossel Bay,Surfing,Unprovoked,1.5 m to 1.8 m [5' to 6'] shark
1967.12.21.R,1967,XX,Male,Adult,Papua New Guinea,Central Province,Port Moresby,Spearfishing,Invalid,Mako shark
1967.12.18,1967,XX,Male,Young,Fiji,Unknown,Unknown,Unknown,Unprovoked,Unknown
1967.12.17,1967,XX,Male,Senior,Australia,Victoria,"Cheviot Beach, Portsea, Port Phillip Bay",Swimming,Unprovoked,Unknown
1967.12.14,1967,XX,Male,Unknown,Usa,Unknown,Unknown,Unknown,Provoked,Unknown
1967.11.30.b,1967,XX,Male,Teen,Australia,New South Wales,Wollongong,Freediving,Provoked,Grey nurse shark
1967.11.30.a,1967,XX,Male,Teen,Australia,Queensland,Surfer's Paradise,Unknown,Unprovoked,Grey nurse shark
1967.11.15,1967,XX,Male,Young,Fiji,Unknown,Unknown,Freediving,Provoked,Unknown
1967.11.04,1967,XX,Unknown,Unknown,Philippines,Rombion Province,Off Sibuyan Island,Sinking of the M/V Mindoro during a typhoon,Sea Disaster,Unknown
1967.11.00,1967,XX,Female,Unknown,South Africa,KwaZulu-Natal,Brighton Beach,Unknown,Invalid,Unknown
1967.10.26.R,1967,XX,Unknown,Unknown,Mexico,Veracruz,Veracruz,Swimming,Unprovoked,Unknown
1967.10.17,1967,XX,Male,Teen,Usa,Florida,"McArthur Beach, Singer Island, Palm Beach Shores",Standing on sandbar,Unprovoked,small blacktip shark
1967.10.00,1967,XX,Male,Teen,Tonga,Unknown,Unknown,Swimming,Unprovoked,Unknown
1967.09.20,1967,XX,Male,Unknown,Usa,Hawaii,"Kailua Bay, O'ahu",Boat capsized between O'ahu & Molokai,Invalid,Unknown
1967.09.13,1967,XX,Male,Young,Italy,Brindisi Province,Brindisi,Scuba diving,Provoked,2 m shark
1967.09.07.b,1967,XX,Unknown,Unknown,Papua New Guinea,New Ireland Province,Unknown,Diving,Provoked,Unknown
1967.09.07.a,1967,XX,Unknown,Unknown,Usa,Florida,"Key West, Monroe County",Spearfishing,Unprovoked,Unknown
1967.09.06,1967,XX,Male,Unknown,Papua New Guinea,New Ireland Province,Lambom Island,Spearfishing,Unprovoked,Unknown
1967.09.01,1967,XX,Male,Young,Papua New Guinea,New Ireland Province,"Lamassa Island, 16 miles from Lambon Island",Spearfishing,Unprovoked,3.7 m [12'] shark
1967.08.27,1967,XX,Male,Young,Usa,California,Ventura,Pulling shark from the water,Provoked,5' blue shark
1967.08.26,1967,XX,Male,Teen,Japan,Kagawa Prefecture,Sakaide,Unknown,Unprovoked,Unknown
1967.08.25,1967,XX,Male,Unknown,Italy,Liguria," Marinella Sarzana, La Spezia ",Spearfishing on Scuba,Unprovoked,Unknown
1967.08.19,1967,XX,Male,Young,Australia,Western Australia,Jurien Bay,"Spearfishing, dived to pick up a float line",Unprovoked,White shark
1967.08.15,1967,XX,Female,Teen,Bermuda,Hamilton,Hamilton,Floating,Unprovoked,Unknown
1967.08.14.R,1967,XX,Male,Unknown,Columbia,Unknown,Unknown,Unknown,Unprovoked,Unknown
1967.08.10,1967,XX,Male,Teen,Australia,New South Wales,Jervis Bay,Anti-sabotage night dive exercise alongside destroyer (Scuba diving),Invalid,Unknown
1967.08.07,1967,XX,Male,Teen,Usa,Florida,Near Key West,Spearfishing,Unprovoked,"Nurse shark, 106 cm, 28-lb, male "
1967.08.00.b,1967,XX,Male,Adult,Bahamas,Out Islands,Andros Island,Photographing sharks underwater using Scuba,Unprovoked,1.5 m to 1.8 m [5' to 6'] sandbar shark
1967.08.00.a,1967,XX,Male,Unknown,Senegal,Cap Vert Peninsula,Hann,Beach seine netting,Unprovoked,1.8 m shark
1967.07.29,1967,XX,Male,Young,Usa,Florida,Florida Keys,Snorkeling,Unprovoked,Unknown
1967.07.05,1967,XX,Male,Adult,Turkey,Mugla Province,Kucukada Island,Spearfishing,Unprovoked,Unknown
1967.07.00,1967,XX,Male,Teen,Usa,South Carolina,Unknown,Surfing,Invalid,Unknown
1967.06.13,1967,XX,Male,Young,Usa,Florida,"Key West, Monroe County",Spearfishing,Provoked,"Nurse shark, 1 m "
1967.06.00,1967,XX,Male,Unknown,Italy,Sicily,Stretto di Messina,Fishing boat,Provoked,"White shark, 4 to 5 m [13' to 16.5'] "
1967.05.13,1967,XX,Male,Young,Australia,South Australia,Outer Harbor,Unknown,Provoked,Bronze whaler shark
1967.05.09,1967,XX,Male,Young,Australia,Unknown,Aquarium,Feeding a shark,Provoked,Grey nurse shark
1967.04.00,1967,XX,Male,Senior,United Kingdom,Gibraltar,Unknown,Fishing,Provoked,Unknown
1967.03.20,1967,XX,Male,Young,New Zealand,North Island,Leigh,Freediving,Provoked,Unknown
1967.03.19,1967,XX,Male,Adult,South Africa,KwaZulu-Natal,Paradise Reef,Spearfishing,Unprovoked,"White shark, 3 m [10'] "
1967.03.12,1967,XX,Male,Adult,Australia,Victoria,Geelong,Spearfishing,Provoked,Grey nurse shark
1967.03.10,1967,XX,Unknown,Unknown,Australia,New South Wales,"Dover Heights, Sydney",Vehicle plunged over cliff into the water,Invalid,Unknown
1967.03.09,1967,XX,Male,Young,New Zealand,South Island,St. Kilda Beach,Lifesaving drill,Unprovoked,Thought to involve a white shark
1967.03.01,1967,XX,Male,Teen,Papua New Guinea,New Britain,"Barawon Beach, near Rabaul",Unknown,Unprovoked,3.7 m [12'] shark
1967.02.06,1967,XX,Male,Unknown,Mexico,Veracruz,Cabo Rojo,The shrimper Loless Maurine capsized in heavy seas & the men were swimming ashore  ,Sea Disaster,Unknown
1967.01.27,1967,XX,Unknown,Unknown,South Africa,Western Cape Province,Melkbosstrand,Fishing for rock lobster,Boating,White shark or thresher shark
1967.01.22,1967,XX,Male,Unknown,South Africa,Western Cape Province,Whittle Rock False Bay,Spearfishing Competition,Provoked,2.1 m [7'] sandtiger shark
1967.01.21,1967,XX,Male,Adult,Mozambique,Bay of Maputo,Xefina Island,Swimming in the channel,Unprovoked,Unknown
1967.01.06,1967,XX,Male,Teen,Australia,Victoria,Goolwa,Splashing,Provoked,"""sand shark"""
1966.12.31,1966,XX,Male,Young,Australia,Tasmania,"Piccaninny Point, 10 miles from Bicheno",Fishing,Unprovoked,2.1 m [7'] shark
1966.12.27.b,1966,XX,Male,Young,Australia,New South Wales,South West Rocks,Spearfishing,Provoked,"Grey nurse shark, 1.5 m [5'] "
1966.12.27.a,1966,XX,Male,Teen,Australia,New South Wales,Trial Bay,Spearfishing,Unprovoked,"Grey nurse shark, 1.5 m [5']"
1966.12.26,1966,XX,Male,Adult,Singapore,Unknown,Singapore,Wading,Unprovoked,Unknown
1966.12.26,1966,XX,Male,Young,Australia,New South Wales,Coogee,Spearfishing,Unprovoked,1.8 m [6'] shark
1966.11.14,1966,XX,Unknown,Young,Thailand,Unknown,Unknown,Unknown,Unprovoked,Unknown
1966.11.00,1966,XX,Female,Newborn,Papua New Guinea,New Ireland Province,Unknown,A father bathing his smallest daughter when the shark bumped her out of his arms and carried her into deep water,Unprovoked,3.7 m [12'] shark
1966.10.30,1966,XX,Female,Teen,Papua New Guinea,New Ireland Province,"Lamassa Island, 16 miles from Lambom Island",Swimming,Unprovoked,3.7 m [12'] shark
1966.10.29,1966,XX,Female,Children,Papua New Guinea,New Ireland Province,"Mission Beach, Lambon Island, near Duke of York Islands",Bathing,Unprovoked,3.7 m [12'] shark
