,Country,Year,Case Number,Date,Sex,Age,Fatal (Yes/No),href formula
2712,BAHAMAS,1983,1983.06.15,15-Jun-83,M,30,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.06.15-NV-Yost.pdf
2713,ITALY,1983,1983.06.15,15-Jun-83,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.06.15-Piaviali.pdf
2714,BAHAMAS,1983,1983.06.00,Jun-83,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.06.00-Starling
2715,USA,1983,1983.05.31,31-May-83,M,21,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.05.31-Swersky.pdf
2716,USA,1983,1983.05.24,24-May-83,M,15,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.05.24-Coulter.pdf
2717,USA,1983,1983.05.21,21-May-83,M,22,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.05.21-Popper.pdf
2718,USA,1983,1983.04.19,19-Apr-83,M,,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.04.19-NV-Schwarzwood.pdf
2719,SOUTH AFRICA,1983,1983.04.12,12-Apr-83,M,27,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.04.12-Venter.pdf
2720,USA,1983,1983.04.02.b,02-Apr-83,M,16,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.04.02.b-MarkSteins.pdf
2721,SOUTH AFRICA,1983,1983.04.02.a,02-Apr-83,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.04.02.a-Mapande.pdf
2722,SOUTH AFRICA,1983,1983.03.30.a,30-Mar-83,M,17,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.03.30.a-Johnson.pdf
2723,SOUTH AFRICA,1983,1983.03.22,22-Mar-83,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.03.22-IanJohnson.pdf
2724,USA,1983,1983.03.10,10-Mar-83,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.03.10-Lowen.pdf
2725,NEW CALEDONIA,1983,1983.03.00,Mar-83,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.03.00-teenager-NewCaledonia.pdf
2726,SOUTH AFRICA,1983,1983.02.20,20-Feb-83,M,16,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.02.20-Swart.pdf
2727,USA,1983,1983.01.24,24-Jan-83,M,43,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.01.24-Wynn.pdf
2728,SOUTH AFRICA,1983,1983.01.15,15-Jan-83,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.01.15-Amanzimtoti.pdf
2729,SOUTH AFRICA,1983,1983.01.10,10-Jan-83,M,22,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.01.10-Crewe.pdf
2730,SOUTH AFRICA,1983,1983.01.08,08-Jan-83,M,32,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.01.08-DeBruyn.pdf
2731,,1983,1983.00.00.d,Ca. 1983,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.00.00.d-Shenoy.pdf
2732,VANUATU,1983,1983.00.00.c,1983,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.00.00.c-SwissTourist.pdf
2733,USA,1983,1983.00.00.b,1983,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.00.00.b-Carolina-Fishermen.pdf
2734,USA,1982,1982.11.00,Nov-82,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.11.00-male.pdf
2735,USA,1982,1982.10.13,13-Oct-82,M,26,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.10.13-Savanello.pdf
2736,SOUTH AFRICA,1982,1982.09.30.b,30-Sep-82,M,16,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.09.30.b-Lindsay.pdf
2737,SOUTH AFRICA,1982,1982.09.30.a,30-Sep-82,M,16,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.09.30.a-Fawkes.pdf
2738,USA,1982,1982.09.27,27-Sep-82,M,20,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.09.27-Cibelli.pdf
2739,USA,1982,1982.09.25,25-Sep-82,M,36,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.09.25-Lang.pdf
2740,USA,1982,1982.09.19,19-Sep-82,M,28,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.09.19-Herder_Collier.pdf
2741,USA,1982,1982.09.04,04-Sep-82,M,mid-20s,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.09.04-Remains-TigerShark.pdf
2742,JAPAN,1982,1982.08.29.c,29-Aug-82,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.08.29.c-Yajima.pdf
2743,USA,1982,1982.08.29.b,29-Aug-82,M,17,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.08.29.b-Buchanan.pdf
2744,SOUTH AFRICA,1982,1982.08.29.a,29-Aug-82,F,18,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.08.29.a-Keet.pdf
2745,TUNISIA,1982,1982.08.00,Late Aug-1982,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.08.00-Tunisia.pdf
2746,SOUTH AFRICA,1982,1982.07.31,31-Jul-82,M,20,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.07.31-VanRensburg.pdf
2747,SOUTH AFRICA,1982,1982.07.24.b,24-Jul-82,M,38,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.07.24.b-Plumb.pdf
2748,USA,1982,1982.07.24.a,24-Jul-82,M,26,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.07.24.a-Pulaski_Collier.pdf
2749,USA,1982,1982.07.19,19-Jul-82,M,17,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.07.19-Orth.pdf
2750,USA,1982,1982.07.11, 11-Jul-1982,M,43,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.07.11-Winkle.pdf
2751,USA,1982,1982.07.01,01-Jul-82,F,19,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.07.01-Babb.pdf
2752,NEW CALEDONIA,1982,1982.07.00,Jul-82,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.07.00-Bull.pdf
2753,SOUTH AFRICA,1982,1982.06.29,29-Jun-82,M,27,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.06.29-Macun.pdf
2754,USA,1982,1982.06.26.b,26-Jun-82,M,20,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.06.26.b-Branson.pdf
2755,BAHAMAS,1982,1982.06.26.a,26-Jun-82,M,19,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.06.26.a-Sweeting.pdf
2756,USA,1982,1982.06.25,  25-Jun-1982,F,8,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.06.25-TaraDean.pdf
2757,USA,1982,1982.06.13,13-Jun-82,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.06.13-Shoemaker.pdf
2758,USA,1982,1982.05.00,May-82,F,Ca. 33,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.05.00-HumanRemains.pdf
2759,USA,1982,1982.03.10,10-Mar-82,M,16,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.03.10-McGrath.pdf
2760,AUSTRALIA,1982,1982.03.07,07-Mar-82,M,20,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.03.07-AllenFord.pdf
2761,NEW CALEDONIA,1982,1982.03.00,Mar-82,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.03.00-Torii.pdf
2762,AUSTRALIA,1982,1982.02.28,28-Feb-82,M,32,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.02.28-Talen.pdf
2763,USA,1982,1982.02.27,27-Feb-82,M,18,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.02.27-Bauer.pdf
2764,SOUTH AFRICA,1982,1982.02.17,17-Feb-82,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.02.17-Jordaan.pdf
2765,USA,1982,1982.02.14.b,14-Feb-82,F,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.02.14.b-Miller.pdf
2766,USA,1982,1982.02.14.a,14-Feb-82,F,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.02.14.a-WhitePlainsBeach.pdf
2767,USA,1982,1982.02.13,13-Feb-82,F,75,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.02.13-Sackville.pdf
2768,USA,1982,1982.02.07.a,07-Feb-82,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.02.07.a-Smith_Collier.pdf
2769,USA,1982,1982.02.07..b,07-Feb-82,M,29,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.02.07.b-Seibel.pdf
2770,SOUTH AFRICA,1982,1982.01.29,29-Jan-82,M,20,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.01.29-Phillips-Page.pdf
2771,ITALY,1982,1982.00.00.c,1982,M,,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.00.00.c-boat-Vuoso.pdf
2772,ITALY,1982,1982.00.00.b,1982,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.00.00.b-Campodonico.pdf
2773,TUNISIA,1982,1982.00.00.a,1982,,,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1982.00.00.a-Tunisia.pdf
2774,USA,1981,1981.12.19,19-Dec-81,M,24,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.12.19-Boren_Collier.pdf
2775,AUSTRALIA,1981,1981.12.13.b,13-Dec-81,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.12.13.b-NV-ZolaDale.pdf
2776,USA,1981,1981.12.13.a,13-Dec-81,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.12.13.a-Toma.pdf
2777,REUNION,1981,1981.11.30,30-Nov-81,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.11.30-Mercier.pdf
2778,SOUTH AFRICA,1981,1981.10.19.b,19-Oct-81,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.10.19.b-VanAswegan.pdf
2779,USA,1981,1981.11.09,09-Nov-81,M,59,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.11.09-Ohai.pdf
2780,USA,1981,1981.10.19.a,19-Oct-81,M,19,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.10.19.a-VanHornEly.pdf
2781,USA,1981,1981.10.17,17-Oct-81,M,,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.10.17-NV-Conklin.pdf
2782,USA,1981,1981.10.16,16-Oct-81,M,17,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.10.16-Keifling.pdf
2783,USA,1981,1981.10.01,01-Oct-81,M,24,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.10.01-Armstrong.pdf
2784,USA,1981,1981.09.28,28-Sep-81,M,28,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.09.28-Wing.pdf
2785,USA,1981,1981.09.27,27-Sep-81,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.09.27-Smodell.pdf
2786,USA,1981,1981.09.15,15-Sep-81,M,26,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.09.15-Meeker.pdf
2787,USA,1981,1981.09.03.b,03-Sep-81,M,25,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.09.03.b-Corrack.pdf
2788,USA,1981,1981.09.03.a,03-Sep-81,M,24,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.09.03.a-Christie.pdf
2789,USA,1981,1981.08.29,29-Aug-81,M,15,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.08.29-Drosdick.pdf
2790,USA,1981,1981.08.24.b,24-Aug-81,M,19,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.08.24.b-Best.pdf
2791,USA,1981,1981.08.24.a,24-Aug-81,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.08.24.a-Watson.pdf
2792,USA,1981,1981.08.10.b,10-Aug-81,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.08.10.b-Barber.pdf
2793,USA,1981,1981.08.10.a,10-Aug-81,F,19,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.08.10.a-Wapniarski.pdf
2794,BAHAMAS,1981,1981.08.07,07-Aug-81,M,53,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.08.07-Marx.pdf
2795,USA,1981,1981.07.20,20-Jul-81,F,16,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.07.20-NV-Drenko.pdf
2796,SOUTH AFRICA,1981,1981.07.18,18-Jul-81,M,32,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.07.18-vanderHelm.pdf
2797,USA,1981,1981.07.07,07-Jul-81,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.07.07-NV-Cannette.pdf
2798,SOUTH AFRICA,1981,1981.07.01,01-Jul-81,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.07.01-Wilson.pdf
2799,ENGLAND,1981,1981.06.15.R,Reported 15-Jun-1981,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.06.15.R-Isle-of-Wight.pdf
2800,USA,1981,1981.06.12,12-Jun-81,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.06.12-Soley.pdf
2801,USA,1981,1981.05.24,24-May-81,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.05.24-Garletts.pdf
2802,SOUTH KOREA,1981,1981.05.23,23-May-81,F,27,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.05.23-Pak-Kyong-sun.pdf
2803,SOUTH AFRICA,1981,1981.05.20,20-May-81,M,27,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.05.20-Jury.pdf
2804,USA,1981,1981.05.19,19-May-81,M,32,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.05.19-Rahimnejad.pdf
2805,USA,1981,1981.05.16,16-May-81,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.05.16-NV-Ford.pdf
2806,SOUTH AFRICA,1981,1981.05.10,10-May-81,M,19,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.05.10-Dunser.pdf
2807,NAMIBIA,1981,1981.05.07,07-May-81,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.05.07.R-WalvisBay.pdf
2808,BERMUDA,1981,1981.03.08,08-Mar-81,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.03.08-Mezada.pdf
2809,SOUTH AFRICA,1981,1981.05.05,05-May-81,M,24,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.05.05-Hammerton.pdf
2810,USA,1981,1981.03.25,25-Mar-81,M,19,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.03.25-Auditore.pdf
2811,USA,1981,1981.03.24,24-Mar-81,M,24,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.03.24-Thomas.pdf
2812,CHILE,1981,1981.03.04,04-Mar-81,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.03.04-Vergara.pdf
2813,BRAZIL,1981,1981.03.00,Mar-81,,,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.03.00-Brazil.pdf
2814,SOUTH AFRICA,1981,1981.02.19,19-Feb-81,M,30,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.02.19-Guy.pdf
2815,AUSTRALIA,1981,1981.02.16,16-Feb-81,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.02.16-Fawcett.pdf
2816,AUSTRALIA,1981,1981.02.07,07-Feb-81,,,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.02.07-NV-Filmer.pdf
2817,USA,1981,1981.02.02,02-Feb-81,M,15,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.02.02-Reist.pdf
2818,BRAZIL,1981,1981.02.00,Feb-81,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.02.00-CaboFrio.pdf
2819,USA,1981,1981.01.30,30-Jan-81,M,25,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.01.30-CareyFord.pdf
2820,SOUTH AFRICA,1981,1981.01.01,01-Jan-81,M,23,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.01.01-Dayalan.pdf
2821,AUSTRALIA,1981,1981.00.00.b,1981,M,27,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.00.00.b-Rowe.pdf
2822,GREECE,1981,1981.00.00.a,Summer of 1981,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1981.00.00.a-Austrian-diver.pdf
2823,SOUTH AFRICA,1980,1980.12.30,12-30-1980,M,25,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1980.12.30-Yates.pdf
2824,SOUTH AFRICA,1980,1980.12.26,26-Dec-80,,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1980.12.26-scavenging.pdf
2825,REUNION,1980,1980.11.24,24-Nov-80,M,22,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1980.11.24-Pothin.pdf
2826,AUSTRALIA,1980,1980.11.18,18-Nov-80,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1980.11.18-Bohan.pdf
2827,SOUTH AFRICA,1980,1980.11.17,17-Nov-80,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1980.11.17-BabaSibaya.pdf
2828,BRAZIL,1980,1980.11.11.,11-Nov-80,M,16,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1980.11.11-Vieira.pdf
2829,USA,1980,1980.10.27,27-Oct-80,M,29,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1980.10.27-Cowan_Collier.pdf
2830,USA,1980,1980.10.17,17-Oct-80,M,19,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1980.10.17-Vikan_Collier.pdf
2831,MEXICO,1980,1980.08.22.R,Reported 22-Aug-1980,M,22,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1980.08.22.R-Correria.pdf
2832,USA,1980,1980.08.10,10-Aug-80,F,10,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1980.08.10-Waters.pdf
2833,USA,1980,1980.08.04,04-Aug-80,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1980.08.04-Skidgel.pdf
2834,SPAIN,1980,1980.07.26,26-Jul-80,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1980.07.26-Escualo.pdf
2835,USA,1980,1980.07.27,27-Jul-80,M,15,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1980.07.27-Moffat.pdf
2836,USA,1980,1980.07.23,23-Jul-80,F,22,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1980.07.23-PhyllisRidley.pdf
2837,USA,1980,1980.07.00,Late Jul-1980,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1980.07.00-NCsurfer.pdf
2838,USA,1980,1980.07.00,Early Jul-1980,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1980.07.00-Durrance.pdf
2839,USA,1980,1980.06.26,26-Jun-80,F,44,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1980.06.26-ValTaylor.pdf
2840,SOUTH AFRICA,1980,1980.05.15,15-May-80,M,22,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1980.05.15-Stedman.pdf
2841,JAMAICA,1980,1980.04.25,25-Apr-80,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1980.04.25-Venus.pdf
2842,PHILIPPINES,1980,1980.04.22,22-Apr-80,,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1980.04.22-DonJuan.pdf
2843,MEXICO,1980,1980.04.00,Apr-80,F,13,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1980.04.00-Giambalvo-Sprague.pdf
2844,SOUTH AFRICA,1980,1980.03.29,29-Mar-80,M,52,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1980.03.29-RayBooth.pdf
2845,BRAZIL,1980,1980.03.28,28-Mar-80,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1980.03.28-JM.pdf
2846,PHILIPPINES,1980,1980.03.15,15-Mar-80,F,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1980.03.15-Bongbong1.pdf
2847,SOUTH AFRICA,1980,1980.03.11,11-Mar-80,M,61,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1980.03.11-Binneman.pdf
2848,SOUTH AFRICA,1980,1980.01.31,31-Jan-80,M,24,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1980.01.31-Wright.pdf
2849,KENYA,1980,1980.01.25,25-Jan-80,M,29,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1980.01.25-Richard.pdf
2850,SOUTH AFRICA,1980,1980.01.15,15-Jan-80,M,29,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1980.01.15-Winkworth.pdf
2851,SOUTH AFRICA,1980,1980.01.13,13-Jan-80,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1980.01.13-Clarke.pdf
2852,SOUTH AFRICA,1980,1980.01.10,10-Jan-80,M,25,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1980.01.10-Austin.pdf
2853,CHILE,1980,1980.01.05,05-Jan-80,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1980.01.05-Miranda.pdf
2854,,1980,1980.00.00.d,Summer 1980,M,34,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1980.00.00.d-Hallett.pdf
2855,GREECE,1980,1980.00.00.c,1980s ,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1980.00.00.c-NV-Greece.pdf
2856,SOUTH AFRICA,1980,1980.00.00.b,1980,M,20,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1980.00.00.b-Mitchley.pdf
2857,TONGA,1980,1980.00.00.a,1980s ,M,20s,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1980.00.00.a-Tonga.pdf
2858,SOUTH AFRICA,1979,1979.12.21,21-Dec-79,M,18,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1979.12.21-Shemaly.pdf
2859,PORTUGAL,1979,1979.12.00,05-Dec-79,M,19,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1979.12.00-Madeira.pdf
2860,,1979,1979.12.01, 01-Dec-1979,M,32,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1979.12.01-Lee.pdf
2861,USA,1979,1979.11.27,27-Nov-79,M,20,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1979.11.27-KennyDoudt_Collier.pdf
2862,SOUTH AFRICA,1979,1979.11.12,12-Nov-79,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1979.11.12-ski-boat.pdf
2863,SOUTH AFRICA,1979,1979.10.22,22-Oct-79,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1979.10.22-Dorfling.pdf
2864,AUSTRALIA,1979,1979.09.14,14-Sep-79,M,18,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1979.09.14-Oliver.pdf
2865,HONG KONG,1979,1979.08.28,28-Aug-79,M,21,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1979.08.28-HongKong.pdf
2866,HONG KONG,1979,1979.08.26,26-Aug-79,M,16,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1979.08.26-NV-HongKong.pdf
2867,USA,1979,1979.08.05,05-Aug-79,M,49,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1979.08.05-Seiner.pdf
2868,THAILAND,1979,1979.08.03,03-Aug-79,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1979.08.03.R-Pirates.pdf
2869,USA,1979,1979.06.19,19-Jun-79,M,56,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1979.06.19-Shaw.pdf
2870,USA,1979,1979.05.27,27-May-79,M,36,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1979.05.27-Neel.pdf
2871,SOUTH AFRICA,1979,1979.05.05,05-May-79,M,25,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1979.05.05-Boonzaaier.pdf
2872,SOUTH AFRICA,1979,1979.05.03,03-May-79,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1979.05.03-Symons.pdf
2873,NEW CALEDONIA,1979,1979.05.00.c,May-79,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1979.05.00.c-fisherman-Yande.pdf
2874,NEW CALEDONIA,1979,1979.05.00.b,May-79,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1979.05.00.b-Teanyouen.pdf
2875,USA,1979,1979.04.08.b,08-Apr-79,M,24,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1979.04.08.b-Beekler.pdf
2876,USA,1979,1979.04.08.a,08-Apr-79,M,8,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1979.04.08.a-Kennedy.pdf
2877,USA,1979,1979.03.24,24-Mar-79,M,27,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1979.03.24-Stewart.pdf
2878,USA,1979,1979.03.11,11-Mar-79,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1979.03.11-CalvinSloan_Collier.pdf
2879,SOUTH AFRICA,1979,1979.03.01,01-Mar-79,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1979.03.01-NV-SealIslandboat.pdf
2880,NEW CALEDONIA,1979,1979.03.00,Mar-79,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1979.03.00-Teau.pdf
2881,SOUTH AFRICA,1979,1979.02.21,21-Feb-79,M,19,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1979.02.21-Kantor.pdf
2882,USA,1979,1979.00.00,1979,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1979.00.00-ElderlyMale.pdf
2883,AUSTRALIA,1978,1978.12.29,29-Dec-78,M, ,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1978.12.29-Brown.pdf
2884,SOUTH AFRICA,1978,1978.12.12,12-Dec-78,M,23,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1978.12.12-Steenkamp.pdf
2885,USA,1978,1978.11.26,26-Nov-78,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1978.11.26-Cabunoc.pdf
2886,USA,1978,1978.11.23,23-Nov-78,M,17,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1978.11.23-Alvarez.pdf
2887,SOUTH AFRICA,1978,1978.10.21,21-Oct-78,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1978.10.21-Kuppasamy.pdf
2888,SOUTH AFRICA,1978,1978.09.27,27-Sep-78,M,27,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1978.09.27-Lombard.pdf
2889,ITALY,1978,1978.09.16,16-Sep-78,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1978.09.16-Marini.pdf
2890,AUSTRALIA,1978,1978.09.02.R,Reported 02-Sep-1978,M,34,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1978.09.02.R-Scott.pdf
2891,USA,1978,1978.08.05,05-Aug-78,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1978.08.05-DuNah_Collier.pdf
2892,USA,1978,1978.08.01.R,Reported 01-Aug-1978,M,27,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1978.08.01.R-Cordoba.pdf
