original order,Year,Type,Country,Area,Activity,Sex,Age,Fatal (Y/N),Species ,Investigator or Source
3023.0,1974.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming,M,33.0,N,shark,"L. Pyper, J. Bass, G. Charter; B. Davis, M. Levine, GSAF; T. Wallett, pp.17-18. "
3024.0,1974.0,Unprovoked,AUSTRALIA,South Australia,Diving,M,26.0,Y,shark,"H. Hall; A. Sharpe, p.124;"
3025.0,1974.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Other,M,42.0,N,shark,"Daily News (Durban), 1/29/1974; GSAF"
3026.0,1974.0,Boat,SOUTH AFRICA,Western Cape Province,Fishing,unknown,,N,shark,"T. Wallett, pp.35-37"
3027.0,1974.0,Boat,SOUTH AFRICA,Western Cape Province,Fishing,unknown,,N,white shark,"T. Wallett, p.37"
3028.0,1974.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming,M,19.0,N,Other,"J. Kool, S. Jooste; M. Levine, GSAF"
3029.0,1974.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming,M,14.0,N,Other,"D. Kendrick, S. Jooste, G. Charter, B. Davis,  M. Levine, GSAF; T. Wallett, pp.18-19 "
3030.0,1974.0,Boat,SOUTH AFRICA,Western Cape Province,Fishing,unknown,,N,shark,"T. Wallett, p.37"
3031.0,1974.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Surfing,M,21.0,N,shark,"J. Gurr, M. Levine, GSAF; G. Charter, NSB; T. Wallett, p.20"
3032.0,1974.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Surfing,M,17.0,N,dusky shark,"A. Baker, M. Levine, GSAF; G. Charter & B. Davis, NSB; T. Wallett, p.21"
3033.0,1974.0,Unprovoked,USA,Florida,Swimming,F,11.0,N,Other,"Chicago Tribune, 4/13/1974"
3034.0,1974.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Standing,M,19.0,N,Other,"S. Parkin, M. Levine, GSAF; T. Wallett, p.40"
3035.0,1974.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Spearfishing,M,22.0,N,shark,"A. Hartman, M. Levine, GSAF; Cape Argus, 4/26/1974"
3036.0,1974.0,Sea Disaster,BRAZIL,,Fishing,M,,Y,Other,"Fresno Bee Republican, 4/25/1974"
3037.0,1974.0,Unprovoked,USA,California,Free diving,M,45.0,N,shark,"D. Miller & R. Collier, R. Collier, p.53; J. McCosker & R.N. Lea"
3038.0,1974.0,Unprovoked,USA,Florida,Swimming,F,61.0,N,Other,"Daytona Beach Morning Journal, 6/21/1974"
3039.0,1974.0,Sea Disaster,USA,Florida ,Other,M,10.0,Y,shark,"Wilmington Star, 7/3/1974, p.3A"
3040.0,1974.0,Unprovoked,USA,Georgia,Swimming,M,17.0,Y,small shark,"Rome News Tribune, 7/31/1974"
3041.0,1974.0,Unprovoked,USA,California,Free diving,M,36.0,N,shark,"D. Miller & R. Collier, R. Collier, pp.54-56; J. McCosker & R.N. Lea"
3042.0,1974.0,Unprovoked,USA,California,Surfing,M,,N,shark,R.Collier
3043.0,1974.0,Unprovoked,CROATIA, Split-Dalmatia County,Other,M,21.0,Y,shark,A. De Maddalena;      R. Rocconi
3044.0,1974.0,Unprovoked,HONG KONG,Mirs Bay ,Other,M,18.0,N,Other,"A. MacCormick, p.157"
3045.0,1974.0,Unprovoked,HONG KONG,Mirs Bay ,Other,M,19.0,N,Other,"A. MacCormick, p.157"
3046.0,1974.0,Unprovoked,HONG KONG,Mirs Bay ,Other,M,,Y,Other,"A. MacCormick, p.157"
3047.0,1974.0,Unprovoked,HONG KONG,Mirs Bay ,Swimming,M,22.0,N,Other,"Washington Post, 8/24/1974,p.D6"
3048.0,1974.0,Unprovoked,USA,Oregon,Surfing,M,24.0,N,shark,R. Collier
3049.0,1974.0,Sea Disaster,AUSTRALIA,Queensland,Other,M,30.0,N,Other,"J. Green, p.36; A. Sharpe, pp.102-103"
3050.0,1974.0,Unprovoked,USA,California,Scuba diving,M,48.0,N,shark,"D. Miller & R. Collier, R. Collier, pp. 56-57; J. McCosker & R.N. Lea"
3051.0,1974.0,Unprovoked,USA,California,Scuba diving,M,41.0,N,shark,"D. Miller & R. Collier, R. Collier, pp. 56-57; J.  McCosker & R.N. Lea"
3052.0,1974.0,Unprovoked,ISRAEL,Red Sea,Swimming,F,20.0,N,mako shark,"The Times (London), 9/9/1974, p. 7; J. Randall & M. F. Levy (1976)"
3053.0,1974.0,Unprovoked,USA,California,Other,M,29.0,N,shark,"D. Miller & R. Collier, R. Collier, pp.57-59; J. McCosker & R.N. Lea"
3054.0,1974.0,Unprovoked,USA,California,Surfing,M,17.0,N,shark,"D. Miller & R. Collier, R. Collier, pp.59-62, J.  McCosker & R. N. Lea"
3055.0,1974.0,Unprovoked,USA,Florida,Standing,M,24.0,N,Other,"Daytona Beach Morning Journal, 11/2/1974"
3056.0,1974.0,Unprovoked,AUSTRALIA,Western Australia,Other,unknown,32.0,N,Other,"J. Green, p.36"
3057.0,1975.0,Unprovoked,REUNION,,Other,M,,Y,Other,Reunion Marine Observatory
3058.0,1975.0,Unprovoked,BERMUDA,,Spearfishing,M,25.0,N,blue shark,"E. Pace, FSAF"
3059.0,1975.0,Unprovoked,AUSTRALIA,South Australia,Surfing,M,17.0,Y,Other,"J. West; Adelaide Advertiser, 1/20/1975; P. Kemp, GSAF"
3060.0,1975.0,Provoked,SOUTH AFRICA,Western Cape Province,Fishing,M,12.0,N,shark,"The Argus, 2/3/1975"
3061.0,1975.0,Unprovoked,AUSTRALIA,Queensland,Other,M,,N,Other,"J. Green, p. 36"
3062.0,1975.0,Unprovoked,AUSTRALIA,Victoria,Other,M,45.0,N,shark,"The Age, 2/11/1975"
3063.0,1975.0,Unprovoked,AUSTRALIA,South Australia,Swimming,M,12.0,Y,shark," A. Sharpe, pp.124-125; Sydney Morning Herald, 2/3/2001 ed."
3064.0,1975.0,Boat,SOUTH AFRICA,Western Cape Province,Other,unknown,,N,shark,GSAF
3065.0,1975.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Surfing,M,16.0,N,shark,"S. Jooste; B.R. Jones, M. Levine, GSAF; T. Wallett, pp.22-24"
3066.0,1975.0,Sea Disaster,BANGLADESH,Ganges-Brahmaputra delta,Other,unknown,,Y,Other,"M. McDiarmid, p.67"
3067.0,1975.0,Provoked,SOUTH AFRICA,Western Cape Province,Other,M,,N,shark,"M. Levine, GSAF"
3068.0,1975.0,Provoked,AUSTRALIA,Queensland,Diving,unknown,18.0,N,whaler shark,"The Age, 3/14/1975"
3069.0,1975.0,Unprovoked,USA,Florida,Floating,M,14.0,N,shark,"News Tribune, 5/17/1975"
3070.0,1975.0,Unprovoked,AUSTRALIA,Queensland,Other,F,,N,Other,"R. McKenzie, Sunday Mail, 9/6/1987, p.11"
3071.0,1975.0,Invalid,SOUTH AFRICA,KwaZulu-Natal,Swimming,M,,,Other,"B. Davis, Natal Sharks Board"
3072.0,1975.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Spearfishing,M,,N,shark,"Cape Times, 4/7/1975"
3073.0,1975.0,Invalid,SOUTH AFRICA,KwaZulu-Natal,Other,M,,,Other,"B. Davis, NSB"
3074.0,1975.0,Invalid,ITALY,Genoa Province,Scuba diving,M,37.0,,Other,"C. Moore, GSAF"
3075.0,1975.0,Unprovoked,USA,Florida,Bathing,F,10.0,N,Other,"Pacifc Stars and Stripes, 6/3/1975"
3076.0,1975.0,Unprovoked,USA,Florida,Surfing,M,17.0,N,Other,"Sumter Daily Item, 7/9/1975"
3077.0,1975.0,Provoked,USA,Florida,Other,M,,N,Other,undated press clipping - see 1975.06.00.b
3078.0,1975.0,Unprovoked,USA,Florida,Surfing,M,20.0,N,Other,"Sarasota Herald Tribune, 6/2/1975"
3079.0,1975.0,Unprovoked,USA,Alabama,Swimming,M,27.0,N,Other,"The News, 6/16/1975"
3080.0,1975.0,Unprovoked,USA,South Carolina,Standing,F,15.0,N,Other,"Morning Herald (Uniontown, PA), 6/26/1975"
3081.0,1975.0,Unprovoked,USA,South Carolina,Swimming,M,18.0,N,shark,"Morning Herald (Uniontown, PA), 7/2/1975"
3082.0,1975.0,Unprovoked,USA,Florida,Surfing,M,16.0,N,Other,"NY Times, 7/6/1975, p.5"
3083.0,1975.0,Provoked,AUSTRALIA,Western Australia,Spearfishing,M,29.0,N,whaler shark,"Washington Post, 7/7/1975"
3084.0,1975.0,Unprovoked,USA,Florida,Swimming,F,14.0,N,shark,"E. Ritter, GSAF"
3085.0,1975.0,Unprovoked,USA,California,Other,M,34.0,N,shark,R. Collier
3086.0,1975.0,Unprovoked,USA,California,Scuba diving,M,23.0,N,shark,"D. Miller & R. Collier; R. Collier, pp.64-65; G. Ambrose, pp.103 & 112      "
3087.0,1975.0,Unprovoked,AUSTRALIA,Queensland,Surfing,M,21.0,N,shark,"Bucks County Courier Times, 7/28/1975; Sunday Mail (QLD), 1//7/1996,p.4; J. Green, p.36"
3088.0,1975.0,Unprovoked,USA,Florida,Free diving,M,24.0,N,Other,"News-Tribune, 7/28/1975"
3089.0,1975.0,Unprovoked,AUSTRALIA,Tasmania,Scuba diving,M,37.0,Y,shark,"Times, 8/1/1975, Yuma Daily Sun, 8/1/1975; C. Black pp. 153-157 "
3090.0,1975.0,Sea Disaster,USA,Oregon,Sea disaster,F,62.0,Y,Other,"Times, 8/1/1975, Yuma Daily Sun, 8/1/1975 "
3091.0,1975.0,Unprovoked,HONG KONG,Mirs Bay ,Other,M,24.0,N,Other,"Corpus Christi Times, 8/4/1975"
3092.0,1975.0,Unprovoked,USA,California,Free diving,M,44.0,N,shark,"D. Miller & R. Collier, R. Collier, pp.65-67; J. McCosker & R.N. Lea"
3093.0,1975.0,Unprovoked,USA,Florida,Floating,M,20.0,N,shark,"NY Times, 8/17/1975, p.27"
3094.0,1975.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,19.0,N,shark,"D. Robertson, M. Levine, GSAF;  J. Wallace, ORI; T. Wallett, p.40"
3095.0,1975.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Other,M,21.0,N,shark,"G. Charter, NSB"
3096.0,1975.0,Invalid,USA,California,Surfing,unknown,,,Other,Unconfirmed Report
3097.0,1975.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,20.0,N,Other,"J. Green, p.36"
3098.0,1975.0,Invalid,USA,New Jersey,Surf fishing,M,,,Other,"J. Stone; Asbury Park Press, 10/22/1975"
3099.0,1975.0,Unprovoked,USA,Florida,Surfing,M,18.0,N,shark,"NY Times, 11/6/1975, p.8"
3100.0,1975.0,Unprovoked,AUSTRALIA,Queensland,Other,M,,N,Other,"R. McKenzie, Sunday Mail, 3/27/1994, p.107"
3101.0,1975.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Standing,M,33.0,N,dusky shark,"G. Charter, B. Davis,  NSB"
3102.0,1975.0,Unprovoked,AUSTRALIA,New South Wales,Standing,M,20.0,N,shark,"The Age, 11/20/1975"
3103.0,1975.0,Provoked,AUSTRALIA,New South Wales,Other,M,35.0,N,nurse shark,"J. Green, p.36"
3104.0,1975.0,Unprovoked,USA,California,Scuba diving,M,27.0,N,shark,"D. Miller & R. Collier, R. Collier, pp.67-69; J. McCosker & R.N. Lea; NY Times, 12/7/1975, p.30, col.1"
3105.0,1975.0,Boat,AUSTRALIA,South Australia,Other,unknown,,N,shark,"A. Sharpe, p.125"
3106.0,1976.0,Unprovoked,USA,Hawaii,Scuba diving,M,,Y,Other,"J. Borg, p.74; L. Taylor (1993), pp.104-105"
3107.0,1976.0,Unprovoked,NEW ZEALAND,North Island,Spearfishing,M,,Y,whaler shark,"R.D. Weeks, GSAF; New Zealand Herald, 3/3/2001"
3108.0,1976.0,Unprovoked,USA,Florida,Spearfishing,M,25.0,N,shark,"Naples Daily News, 1/9/1976"
3109.0,1976.0,Provoked,SOUTH AFRICA,Western Cape Province,Fishing,unknown,,N,shark," T. Wallett, p.30"
3110.0,1976.0,Unprovoked,AUSTRALIA,Queensland,Other,F,,N,Other,"R. McKenzie, Coast Sun, 9/6/1987, p.11"
3111.0,1976.0,Provoked,SOUTH AFRICA,Western Cape Province,Shark fishing,unknown,,N,shark,T. Wallett
3112.0,1976.0,Boat,SOUTH AFRICA,Western Cape Province,Other,unknown,,N,white shark,"T. Wallett, p.30"
3113.0,1976.0,Boat,SOUTH AFRICA,Western Cape Province,Other,unknown,,N,shark,"T. Wallett, pp.30-31"
3114.0,1976.0,Boat,SOUTH AFRICA,Western Cape Province,Other,unknown,,N,shark,"T. Wallett, p.31"
3115.0,1976.0,Boat,SOUTH AFRICA,Western Cape Province,Fishing,unknown,,N,shark,T. Wallett; GSAF
3116.0,1976.0,Unprovoked,USA,Florida,Standing,M,21.0,N,Other,Winnipeg Free Press. 3/17/1976
3117.0,1976.0,Invalid,USA,Texas,Other,unknown,,,Other,"NY Times 4/30/1976, p.14, col.8"
3118.0,1976.0,Boat,SOUTH AFRICA,Western Cape Province,Other,unknown,,N,shark,"The Argus, 5/3/1976"
3119.0,1976.0,Boat,AUSTRALIA,Queensland,Other,F,,N,shark,"A. Sharpe, p.103"
3120.0,1976.0,Provoked,ITALY,Reggio Calabria Province,Fishing,M,46.0,N,shark,"C. Moore, GSAF"
3121.0,1976.0,Unprovoked,USA,Hawaii,Swimming,M,,N,shark,"J. Borg, p.74; L. Taylor (1993), pp.102-103"
3122.0,1976.0,Unprovoked,USA,Florida,Skindiving,M,17.0,N,shark,"Albuquerque Journal, 6/25/1976 "
3123.0,1976.0,Unprovoked,USA,Florida,Spearfishing,M,23.0,N,shark,"News-Tribune, 7/27/1976"
3124.0,1976.0,Unprovoked,USA,Hawaii,Scuba diving,M,18.0,Y,Other,"The Argus, 7/19/1976; J. Borg, p.74; L. Taylor (1993), pp.102-103"
3125.0,1976.0,Unprovoked,USA,Louisiana,Playing,M,10.0,N,Other,"Amarillo Globe-Times, 7/22/1976"
3126.0,1976.0,Unprovoked,USA,Florida,Spearfishing,M,24.0,N,Other,"News-Tribune, 7/27/1976"
3127.0,1976.0,Unprovoked,USA,Oregon,Surfing,M,19.0,N,shark,"D. Miller & R. Collier; R. Collier, pp.69-70; J. McCosker & R.N. Lea      "
3128.0,1976.0,Unprovoked,USA,North Carolina,Surfing,M,23.0,N,Other,"C. Creswell, GSAF; F. Schwartz, p.23"
3129.0,1976.0,Unprovoked,USA,Florida,Surfing,M,15.0,N,shark,P. Ferrer
3130.0,1976.0,Unprovoked,USA,Florida,Swimming,M,,Y,Other,"Washington Post, 9/24/1976"
3131.0,1976.0,Unprovoked,USA,Florida,Swimming,M,16.0,Y,Other,"Washington Post, 9/24/1976"
3132.0,1976.0,Sea Disaster,HONG KONG,South China Sea 200 miles from Hong Kong,Other,M,,Y,Other,"Daily Review, 9/21/1976"
3133.0,1976.0,Unprovoked,AUSTRALIA,South Australia,Skindiving,M,27.0,N,shark,"A. Sharpe, p.125"
3134.0,1976.0,Sea Disaster,NEW CALEDONIA,,Other,unknown,,N,Other,W. Leander
3135.0,1976.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,20.0,N,shark,"M. Levine, GSAF; J. Wallace,ORI; T. Wallett, p.40-41"
3136.0,1976.0,Unprovoked,USA,California,Surfing,M,25.0,N,shark,"D. Miller & R. Collier, R. Collier, pp.70-71; J. McCosker & R.N. Lea"
3137.0,1976.0,Boat,SOUTH AFRICA,Western Cape Province,Other,unknown,,N,shark,"T. Wallett, p.32"
3138.0,1976.0,Provoked,SOUTH AFRICA,Western Cape Province,Fishing,unknown,,N,shark,"T. Wallett, p.37-38"
3139.0,1976.0,Invalid,SOUTH AFRICA,KwaZulu-Natal,Swimming,M,17.0,,Other,Natal Mercury
3140.0,1976.0,Unprovoked,USA,Florida,Surfing,M,19.0,N,bull shark,"A. Brenneka; E. Pace; NY Times, 11/26/1976, I, p.18, col.6"
3141.0,1976.0,Invalid,AUSTRALIA,Queensland,Other,unknown,,,Other,"Courier-Mail, 10/2/1992, p.2"
3142.0,1976.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Other,M,19.0,N,shark,"G. Spence, M. Levine,  P. Snydercombe, P. Schwartz,  Rousseau,  J. Wallace, R.M. Strover; T. Wallett, pp.42-47"
3143.0,1976.0,Unprovoked,USA,California,Other,M,29.0,N,shark,"D. Miller & R. Collier, R. Collier, pp.72-73; J. McCosker & R.N. Lea"
3144.0,1976.0,Unprovoked,AUSTRALIA,Queensland,Other,M,,N,Other,"R. McKenzie, Sunday Mail, 9/6/1987, p.11"
3145.0,1977.0,Unprovoked,MEXICO,Guerrero,Swimming,M,,Y,Other,"A.Resciniti, p.107"
3146.0,1977.0,Unprovoked,NEW CALEDONIA,,Other,unknown,,N,Other,W. Leander
3147.0,1977.0,Invalid,AUSTRALIA,Victoria,Other,M,,,Other,"The Age, 2/8/1977"
3148.0,1977.0,Unprovoked,AUSTRALIA,New South Wales,Other,M,24.0,N,shark,"Ruston Daily Leader, 2/28/1977; A. Sharpe, p.86"
3149.0,1977.0,Sea Disaster,AUSTRALIA,Queensland,Other,M,45.0,Y,Other,"Sunday Mail (QLD), 10/11/1992, p.109; A. Sharpe, pp.103-104"
3150.0,1977.0,Sea Disaster,AUSTRALIA,Queensland,Other,M,74.0,Y,Other,"Sunday Mail (QLD), 10/11/1992, p.109; A. Sharpe, pp.103-104"
3151.0,1977.0,Sea Disaster,AUSTRALIA,Queensland,Other,M,32.0,N,Other,"Sunday Mail (QLD), 10/11/1992, p.109; A. Sharpe, pp.103-104"
3152.0,1977.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming,M,31.0,N,Other,"R.J. Lund, M. Levine, GSAF; T. Wallett, pp.41-42"
3153.0,1977.0,Unprovoked,USA,Hawaii,Swimming,M,,N,shark,"J. Borg, p.74; L. Taylor (1993), pp.104-105"
3154.0,1977.0,Unprovoked,AUSTRALIA,Queensland,Other,M,,N,Other,"R. McKenzie, Sunday Mail, 9/6/1987, p.11"
3155.0,1977.0,Invalid,AUSTRALIA,Queensland,Other,M,,,Other,"Courier-Mail, 10/2/1992, p.2"
3156.0,1977.0,Boat,SOUTH AFRICA,Western Cape Province,Fishing,M,,N,shark,"T. Wallett, pp.32-33"
3157.0,1977.0,Unprovoked,USA,Texas,Other,M,25.0,N,shark,"Abilene Reporter-News, 6/9/1977"
3158.0,1977.0,Provoked,USA,Florida,Spearfishing,M,27.0,N,shark,"News Tribune, 6/28/1977 & 7/14/1977 "
3159.0,1977.0,Sea Disaster,USA,California,Other,M,21.0,N,Other,"The Times (San Mateo), 7/5/1977"
3160.0,1977.0,Invalid,USA,Florida,Wading,M,17.0,,Other,"St. Petersburg Independent, 8/8/1977"
3161.0,1977.0,Unprovoked,USA,California,Free diving,M,20.0,N,shark,"D. Miller & R. Collier, R. Collier, pp.73-74; J. McCosker & R.N. Lea "
3162.0,1977.0,Boat,SOUTH AFRICA,Western Cape Province,Fishing,M,,N,shark,"T. Wallett, pp.33-34"
3163.0,1977.0,Unprovoked,AUSTRALIA,Queensland,Floating,M,25.0,Y,Other,"The Age, 9/1/1977; A. Sharpe, p.104"
3164.0,1977.0,Unprovoked,AUSTRALIA,South Australia,Surfing,M,17.0,N,shark,"The Age, 9/2/1977"
3165.0,1977.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Spearfishing,M,25.0,N,shark,"A. Hartman; M. Levine, GSAF"
3166.0,1977.0,Provoked,SOUTH AFRICA,Western Cape Province,Standing,M,,N,shark,"Times of Hermanus, 11/16/1977"
3167.0,1977.0,Boat,SOUTH AFRICA,Western Cape Province,Fishing,unknown,,N,white shark,"T. Wallett, p.38"
3168.0,1977.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,18.0,N,shark,"K. Pearce, M. Levine, GSAF;  W. Pople, B. Davis, G. Charter, NSB; T. Wallett, p.42"
3169.0,1977.0,Unprovoked,USA,Florida,Surfing,M,27.0,N,Other,"Sarasota Herald-Tribune, 12/20/1977"
3170.0,1977.0,Sea Disaster,USA,Hawaii,Swimming,M,49.0,N,Other,"NY Times, 1/3/1978, p.14, col.1"
3171.0,1978.0,Unprovoked,VANUATU,Malampa Province,Swimming,F,,Y,Other,"N. Bird, Tok Blong Pacific, 9/22/2003"
3172.0,1978.0,Unprovoked,USA,Florida,Surfing,F,,N,Other,"The Beachside Resident, 9/19/2010"
3173.0,1978.0,Invalid,SOUTH AFRICA,KwaZulu-Natal,Other,M,,,Other,"W. Pople, NSB"
3174.0,1978.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Surfing,M,17.0,N,blacktip shark,"W. Pople, G. Charter, B. Davis, NSB"
3175.0,1978.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Diving,M,,N,shark,"Natal Mercury, 2/21/1978"
3176.0,1978.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Fishing,unknown,,N,shark,"Eastern Province Herald, 3/2/1978"
3177.0,1978.0,Boat,SOUTH AFRICA,Eastern Cape Province,Other,unknown,,N,Other,GSAF
3178.0,1978.0,Unprovoked,AUSTRALIA,Tasmania,Scuba diving,M,,N,gill shark,"C. Black, pp. 157-159"
3179.0,1978.0,Unprovoked,MARSHALL ISLANDS,Ralik Archipelago,Diving,M,23.0,N,Other,"Modesto Bee, 4/4/1978"
3180.0,1978.0,Unprovoked,MARSHALL ISLANDS,Ralik Archipelago,Diving,M,25.0,N,Other,"Modesto Bee, 4/4/1978"
3181.0,1978.0,Invalid,ITALY,Golfo de Venezia,Other,unknown,,,Other,A. DeMaddalena
3182.0,1978.0,Unprovoked,USA,Florida,Surfing,M,17.0,N,Other,"Bryan Times, 6/23/1978"
3183.0,1978.0,Unprovoked,USA,Florida,Surfing,M,20.0,N,Other,"Bryan Times, 6/23/1978"
3184.0,1978.0,Provoked,USA,California,Fishing,M,27.0,N,Other,"Fresno Bee, 7/19/1978"
3185.0,1978.0,Sea Disaster,USA,South Carolina,Other,M,39.0,N,Other,"NY Times, 7/28/1978, p.6, col.6"
3186.0,1978.0,Unprovoked,USA,Florida,Floating,M,27.0,N,Other,"Miami News, 8/1/1978"
3187.0,1978.0,Unprovoked,USA,California,Wading,M,,N,shark,"D. Miller & R. Collier, R. Collier, p.75      "
3188.0,1978.0,Unprovoked,AUSTRALIA,Tasmania,Scuba diving,M,34.0,N,shark,"Chronicle Telegram, 9/2/1978 "
3189.0,1978.0,Unprovoked,ITALY,Tyrrhenian Sea,Diving,M,,N,shark,A. De Maddalena; Marini (1989)
3190.0,1978.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Spearfishing,M,27.0,N,shark,"E. Lombard, M. Levine, GSAF"
3191.0,1978.0,Invalid,SOUTH AFRICA,KwaZulu-Natal,Fishing,M,,,Other,"Natal Parks Board, J. Daniel; W. Pople, G. Charter, GSAF"
3192.0,1978.0,Unprovoked,USA,Florida,Surfing,M,17.0,N,Other,"New York Times, 11/26/1978, p.24"
3193.0,1978.0,Unprovoked,USA,Hawaii,Surfing,M,,N,shark,"Star-Phoenix, 11/29/1978"
3194.0,1978.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Spearfishing,M,23.0,Y,shark,"M. Levine, GSAF; W. Pople, G. Charter, NSB; Dr. Marais; T. Wallett, pp.57-58"
3195.0,1978.0,Unprovoked,AUSTRALIA,Queensland,Other,M,,N,Other,"R. McKenzie, Sunday Mail, 9/6/1987, p.11"
3196.0,1979.0,Unprovoked,USA,Hawaii,Fishing,M,,Y,Other,"J. Borg, p.74; L. Taylor (1993), pp.104-105"
3197.0,1979.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,19.0,N,shark,"C. Kantor,  Dr. Macrae, M. Levine, GSAF; G. Charter, NSB"
3198.0,1979.0,Unprovoked,NEW CALEDONIA,Grand Terre,Spearfishing,M,,Y,Other,W. Leander
3199.0,1979.0,Boat,SOUTH AFRICA,Western Cape Province,Other,unknown,,N,Other,GSAF
3200.0,1979.0,Unprovoked,USA,California,Scuba diving,M,,N,shark,"D. Miller & R. Collier, R. Collier, p.76"
3201.0,1979.0,Unprovoked,USA,Florida,Surfing,M,27.0,N,spinner shark,"M. Vorenberg, GSAF"
3202.0,1979.0,Unprovoked,USA,Florida,Body surfing,M,,N,Other,"M. Vorenberg, GSAF"
3203.0,1979.0,Unprovoked,USA,Florida,Swimming,M,24.0,N,Other,"M. Vorenberg, GSAF"
3204.0,1979.0,Unprovoked,NEW CALEDONIA,North Province,Other,M,,Y,shark,W. Leander
3205.0,1979.0,Unprovoked,NEW CALEDONIA,North Province,Fishing,unknown,,N,Other,"W. Leander; Les Nouvelles Caledoniennes, 3/17/2000"
3206.0,1979.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scuba diving,M,,Y,Other,"W. Pople, G. Charter, B. Davis, NSB"
3207.0,1979.0,Provoked,SOUTH AFRICA,Western Cape Province,Spearfishing,M,25.0,N,shark,Dr. P. Landsberg
3208.0,1979.0,Invalid,USA,Florida,Scuba diving,M,36.0,,Other,"Post Standard, 5/29/1979, p.3"
3209.0,1979.0,Sea Disaster,USA,Florida,Floating,M,56.0,N,Other,"Troy Record, 6/21/1979"
3210.0,1979.0,Unprovoked,THAILAND,Southern Thailand,Other,M,,Y,Other,"The Canberra Times, 8/3/1979"
3211.0,1979.0,Unprovoked,USA,Florida,Kayaking,M,49.0,N,Other,"Sarasota Herald Tribune, 8/9/1979"
3212.0,1979.0,Unprovoked,HONG KONG,Ho Ha Wan Marine Park,Other,M,16.0,Y,Other,"J. Wong, GSAF"
3213.0,1979.0,Unprovoked,HONG KONG,,Other,M,21.0,Y,Other,"Sydney Morning Herald, 8/30/1979 "
3214.0,1979.0,Unprovoked,AUSTRALIA,New South Wales,Scuba diving,M,18.0,N,small shark,"Canberra Times, 9/15/1979"
3215.0,1979.0,Provoked,SOUTH AFRICA,Eastern Cape Province,Fishing,M,,N,shark,GSAF
3216.0,1979.0,Provoked,SOUTH AFRICA,Western Cape Province,Shark fishing,unknown,,N,shark,GSAF
3217.0,1979.0,Unprovoked,USA,Oregon,Surfing,M,20.0,N,shark,"D. Miller & R. Collier; R. Collier, p. 76-79; J. McCosker & R.N. Lea; K. Doudt"
3218.0,1979.0,Unprovoked,SOUTH CHINA SEA,,Diving,M,32.0,N,shark,"Sydney Morning Herald, 12/6/1979 "
3219.0,1979.0,Invalid,PORTUGAL,Madeira Islands,Spearfishing,M,19.0,Y,shark,C. Moore. GSAF
3220.0,1979.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,M,18.0,N,Other,"M. Bowker; W. Pople, NSB"
3221.0,1980.0,Unprovoked,TONGA,Ha'api,Spearfishing,M,,N,Other,Dr. S. Fonea
3222.0,1980.0,Invalid,SOUTH AFRICA,Eastern Cape Province,Spearfishing,M,20.0,,Other,"P. Sachs, M. Levine, GSAF"
3223.0,1980.0,Invalid,GREECE,Island of Kos,Surfing,M,,,white shark,MEDSAF
3224.0,1980.0,Provoked,NORTH ATLANTIC OCEAN,,Other,M,34.0,N,Other,"A. Resciniti, pp.105-106"
3225.0,1980.0,Unprovoked,CHILE,Los Vilos,Diving,M,,Y,shark,J. McCosker &  A.C. Engana
3226.0,1980.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,M,25.0,N,shark,M. Smale
3227.0,1980.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,M,,N,shark,"Eastern Province Herald, 1/17/1980, M. Levine, GSAF"
3228.0,1980.0,Provoked,SOUTH AFRICA,KwaZulu-Natal,Spearfishing,M,29.0,N,shark,"L. Winkworth, M. Levine, GSAF"
