Case Number,Type,Country,Area,Location,Activity,Sex ,Age,Fatal (Y/N),Species ,Investigator or Source,Date,Year
1980.00.00.c,Invalid,GREECE,Island of Kos,Unknown,surfing,M,Unknown,Unknown,unknown,MEDSAF,1980-01-01,1980.0
1980.00.00.b,Invalid,SOUTH AFRICA,Eastern Cape Province,Bonza Bay,spearfishing,M,20,Unknown,unknown,"P. Sachs, M. Levine, GSAF",1980-01-01,1980.0
1980.00.00.a,Unprovoked,TONGA,Ha'api,Ha'ano Island,spearfishing,M,Unknown,N,unknown,Dr. S. Fonea,1980-01-01,1980.0
1979.12.21,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Kenton-on-Sea,swimming,M,18,N,unknown,"M. Bowker; W. Pople, NSB",1979-12-21,1979.0
1979.12.00,Invalid,PORTUGAL,Madeira Islands,"Sao Jorge, Madeira Island",spearfishing,M,19,Y,white shark,C. Moore. GSAF,1979-12-01,1979.0
1979.12.01,Unprovoked,SOUTH CHINA SEA,Unknown,Unknown,diving,M,32,N,unknown,"Sydney Morning Herald, 12/6/1979 ",1979-12-01,1979.0
1979.11.27,Unprovoked,USA,Oregon,"Haystack Rock, Cannon Beach, Clatsop County",surfing,M,20,N,white shark,"D. Miller & R. Collier; R. Collier, p. 76-79; J. McCosker & R.N. Lea; K. Doudt",1979-11-27,1979.0
1979.11.12,Provoked,SOUTH AFRICA,Western Cape Province,Macassar,fishing,Unknown,Unknown,N,white shark,GSAF,1979-11-12,1979.0
1979.10.22,Provoked,SOUTH AFRICA,Eastern Cape Province,Algoa Bay,fishing,M,Unknown,N,unknown,GSAF,1979-10-22,1979.0
1979.09.14,Unprovoked,AUSTRALIA,New South Wales,Byron Bay,diving,M,18,N,small shark,"Canberra Times, 9/15/1979",1979-09-14,1979.0
1979.08.28,Unprovoked,HONG KONG,Unknown,Mirs Bay,swimming,M,21,Y,unknown,"Sydney Morning Herald, 8/30/1979 ",1979-08-28,1979.0
1979.08.26,Unprovoked,HONG KONG,Ho Ha Wan Marine Park,Unknown,unknown,M,16,Y,unknown,"J. Wong, GSAF",1979-08-26,1979.0
1979.08.05,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",kayaking,M,49,N,unknown,"Sarasota Herald Tribune, 8/9/1979",1979-08-05,1979.0
1979.08.03,Unprovoked,THAILAND,Southern Thailand,Unknown,unknown,M,Unknown,Y,unknown,"The Canberra Times, 8/3/1979",1979-08-03,1979.0
1979.06.19,Sea Disaster,USA,Florida,10 miles off Cape Canaveral,floating,M,56,N,unknown,"Troy Record, 6/21/1979",1979-06-19,1979.0
1979.05.27,Invalid,USA,Florida,"Fort Walton Beach, Okaloosa County",diving,M,36,Unknown,unknown,"Post Standard, 5/29/1979, p.3",1979-05-27,1979.0
1979.05.05,Provoked,SOUTH AFRICA,Western Cape Province,"Hangklip, False Bay",spearfishing,M,25,N,white shark,Dr. P. Landsberg,1979-05-05,1979.0
1979.05.03,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Mbibi,diving,M,Unknown,Y,unknown,"W. Pople, G. Charter, B. Davis, NSB",1979-05-03,1979.0
1979.05.00.c,Unprovoked,NEW CALEDONIA,North Province,Ile Yandé (between Poum and Bélep),fishing,Unknown,Unknown,N,unknown,"W. Leander; Les Nouvelles Caledoniennes, 3/17/2000",1979-05-01,1979.0
1979.05.00.b,Unprovoked,NEW CALEDONIA,North Province,Balade,unknown,M,Unknown,Y,unknown,W. Leander,1979-05-01,1979.0
1979.04.08.b,Unprovoked,USA,Florida,"Public Beach (Carlin Park), Jupiter, Palm Beach County",swimming,M,24,N,unknown,"M. Vorenberg, GSAF",1979-04-08,1979.0
1979.04.08.a,Unprovoked,USA,Florida,"Municipal Beach, Boyton Beach, Palm Beach County",surfing,M,8,N,unknown,"M. Vorenberg, GSAF",1979-04-08,1979.0
1979.03.24,Unprovoked,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",surfing,M,27,N,unknown,"M. Vorenberg, GSAF",1979-03-24,1979.0
1979.03.11,Unprovoked,USA,California,"Ano Nuevo Island, San Mateo, County",diving,M,Unknown,N,white shark,"D. Miller & R. Collier, R. Collier, p.76",1979-03-11,1979.0
1979.03.01,Boat,SOUTH AFRICA,Western Cape Province,Seal Island,unknown,Unknown,Unknown,N,unknown,GSAF,1979-03-01,1979.0
1979.03.00,Unprovoked,NEW CALEDONIA,Grand Terre,"Five Mile Beach, I'le Ouen",spearfishing,M,Unknown,Y,unknown,W. Leander,1979-03-01,1979.0
1979.02.21,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port Alfred,surfing,M,19,N,unknown,"C. Kantor,  Dr. Macrae, M. Levine, GSAF; G. Charter, NSB",1979-02-21,1979.0
1979.00.00,Unprovoked,USA,Hawaii,"South Kohala, Hawai'i",fishing,M,Unknown,Y,unknown,"J. Borg, p.74; L. Taylor (1993), pp.104-105",1979-01-01,1979.0
1978.12.29,Unprovoked,AUSTRALIA,Queensland,Bribie Island,unknown,M,Unknown,N,unknown,"R. McKenzie, Sunday Mail, 9/6/1987, p.11",1978-12-29,1978.0
1978.12.12,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Sodwana,spearfishing,M,23,Y,white shark,"M. Levine, GSAF; W. Pople, G. Charter, NSB; Dr. Marais; T. Wallett, pp.57-58",1978-12-12,1978.0
1978.11.26,Unprovoked,USA,Hawaii,"Ewa, O'ahu",surfing,M,Unknown,N,unknown,"Star-Phoenix, 11/29/1978",1978-11-26,1978.0
1978.11.23,Unprovoked,USA,Florida,"Jupiter, Palm Beach County",surfing,M,17,N,unknown,"New York Times, 11/26/1978, p.24",1978-11-23,1978.0
1978.10.21,Invalid,SOUTH AFRICA,KwaZulu-Natal,"Fishing camp, St. Lucia Estuary",fishing,M,Unknown,Unknown,unknown,"Natal Parks Board, J. Daniel; W. Pople, G. Charter, GSAF",1978-10-21,1978.0
1978.09.27,Unprovoked,SOUTH AFRICA,Western Cape Province,"Miller's Point, False Bay",spearfishing,M,27,N,white shark,"E. Lombard, M. Levine, GSAF",1978-09-27,1978.0
1978.09.16,Unprovoked,ITALY,Tyrrhenian Sea,Capo d'Anzio,diving,M,Unknown,N,white shark,A. De Maddalena; Marini (1989),1978-09-16,1978.0
1978.09.02.R,Unprovoked,AUSTRALIA,Tasmania,"Cape Pillar, Storm Bay",diving,M,34,N,unknown,"Chronicle Telegram, 9/2/1978 ",1978-09-02,1978.0
1978.08.05,Unprovoked,USA,California,"Pajaro Dunes, Santa Cruz County",wading,M,Unknown,N,unknown,"D. Miller & R. Collier, R. Collier, p.75      ",1978-08-05,1978.0
1978.08.01.R,Unprovoked,USA,Florida,Florida Straits,floating,M,27,N,unknown,"Miami News, 8/1/1978",1978-08-01,1978.0
1978.07.27,Sea Disaster,USA,South Carolina,Unknown,unknown,M,39,N,unknown,"NY Times, 7/28/1978, p.6, col.6",1978-07-27,1978.0
1978.07.19,Provoked,USA,California,"Newport Beach, Orange County",fishing,M,27,N,unknown,"Fresno Bee, 7/19/1978",1978-07-19,1978.0
1978.06.21.b,Unprovoked,USA,Florida,"South of Neptune Beach, Duval County",surfing,M,20,N,unknown,"Bryan Times, 6/23/1978",1978-06-21,1978.0
1978.06.21.a,Unprovoked,USA,Florida,"Neptune Beach, Duval County",surfing,M,17,N,unknown,"Bryan Times, 6/23/1978",1978-06-21,1978.0
1978.06.07,Invalid,ITALY,Golfo de Venezia,Acqua alta research platform,unknown,Unknown,Unknown,Unknown,unknown,A. DeMaddalena,1978-06-07,1978.0
1978.04.02.b,Unprovoked,MARSHALL ISLANDS,Ralik Archipelago,Enewetak Atoll,diving,M,25,N,unknown,"Modesto Bee, 4/4/1978",1978-04-02,1978.0
1978.04.02.a,Unprovoked,MARSHALL ISLANDS,Ralik Archipelago,Enewetak Atoll,diving,M,23,N,unknown,"Modesto Bee, 4/4/1978",1978-04-02,1978.0
1978.04.00,Unprovoked,AUSTRALIA,Tasmania,Beechford,diving,M,Unknown,N,unknown,"C. Black, pp. 157-159",1978-04-01,1978.0
1978.03.05,Boat,SOUTH AFRICA,Eastern Cape Province,"Gulu Deep, East London",unknown,Unknown,Unknown,N,unknown,GSAF,1978-03-05,1978.0
1978.02.28,Unprovoked,SOUTH AFRICA,Western Cape Province,"Seal Island, False Bay",fishing,Unknown,Unknown,N,unknown,"Eastern Province Herald, 3/2/1978",1978-02-28,1978.0
1978.02.19,Unprovoked,SOUTH AFRICA,Western Cape Province,"Miller's Point, False Bay",diving,M,Unknown,N,white shark,"Natal Mercury, 2/21/1978",1978-02-19,1978.0
1978.01.17,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Glenashley,surfing,M,17,N,blacktip shark,"W. Pople, G. Charter, B. Davis, NSB",1978-01-17,1978.0
1978.01.06,Invalid,SOUTH AFRICA,KwaZulu-Natal,Cape Vidal,unknown,M,Unknown,Unknown,unknown,"W. Pople, NSB",1978-01-06,1978.0
1978.00.00.b,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",surfing,F,Unknown,N,unknown,"The Beachside Resident, 9/19/2010",1978-01-01,1978.0
1978.00.00.a,Unprovoked,VANUATU,Malampa Province,"Ranon, Ambryn",swimming,F,Unknown,Y,unknown,"N. Bird, Tok Blong Pacific, 9/22/2003",1978-01-01,1978.0
1977.12.31,Sea Disaster,USA,Hawaii,2 miles off Keahole Airport,swimming,M,49,N,unknown,"NY Times, 1/3/1978, p.14, col.1",1977-12-31,1977.0
1977.12.19.b,Unprovoked,USA,Florida,"Hobe Sound, Palm Beach County",surfing,M,27,N,unknown,"Sarasota Herald-Tribune, 12/20/1977",1977-12-19,1977.0
1977.12.19.a,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Qolera River,surfing,M,18,N,tiger shark,"K. Pearce, M. Levine, GSAF;  W. Pople, B. Davis, G. Charter, NSB; T. Wallett, p.42",1977-12-19,1977.0
1977.12.00,Boat,SOUTH AFRICA,Western Cape Province,"Macassar, False Bay",fishing,Unknown,Unknown,N,white shark,"T. Wallett, p.38",1977-12-01,1977.0
1977.11.12,Provoked,SOUTH AFRICA,Western Cape Province,Klein River Lagoon,standing,M,Unknown,N,unknown,"Times of Hermanus, 11/16/1977",1977-11-12,1977.0
1977.10.30,Unprovoked,SOUTH AFRICA,Western Cape Province,"Bluegums Rock, Partridge Point",spearfishing,M,25,N,white shark,"A. Hartman; M. Levine, GSAF",1977-10-30,1977.0
1977.08.31,Unprovoked,AUSTRALIA,South Australia,"Cactus Beach, near Ceduna",surfing,M,17,N,white shark,"The Age, 9/2/1977",1977-08-31,1977.0
1977.08.23,Unprovoked,AUSTRALIA,Queensland,"Buddina Beach, south of Noosa",floating,M,25,Y,unknown,"The Age, 9/1/1977; A. Sharpe, p.104",1977-08-23,1977.0
1977.08.19,Boat,SOUTH AFRICA,Western Cape Province,Off Macassar Beach,fishing,M,Unknown,N,white shark,"T. Wallett, pp.33-34",1977-08-19,1977.0
1977.08.14,Unprovoked,USA,California,"McClure Beach, near Tomales Point, Marin County",diving,M,20,N,white shark,"D. Miller & R. Collier, R. Collier, pp.73-74; J. McCosker & R.N. Lea ",1977-08-14,1977.0
1977.08.05,Invalid,USA,Florida,"St. Petersburg, Pinellas County",wading,M,17,Unknown,unknown,"St. Petersburg Independent, 8/8/1977",1977-08-05,1977.0
1977.07.02,Sea Disaster,USA,California,"Off San Diego, San Diego County",fishing,M,21,N,unknown,"The Times (San Mateo), 7/5/1977",1977-07-02,1977.0
1977.06.26,Provoked,USA,Florida,"12 miles northeast of Mayport,  Duval County",spearfishing,M,27,N,bull shark,"News Tribune, 6/28/1977 & 7/14/1977 ",1977-06-26,1977.0
1977.06.06,Unprovoked,USA,Texas,Padre Island,unknown,M,25,N,bull shark,"Abilene Reporter-News, 6/9/1977",1977-06-06,1977.0
1977.05.26,Boat,SOUTH AFRICA,Western Cape Province,13 km off Knysna ,fishing,M,Unknown,N,mako shark,"T. Wallett, pp.32-33",1977-05-26,1977.0
1977.05.16,Invalid,AUSTRALIA,Queensland,Southport,unknown,M,Unknown,Unknown,unknown,"Courier-Mail, 10/2/1992, p.2",1977-05-16,1977.0
1977.04.26,Unprovoked,AUSTRALIA,Queensland,Tallebudgera,unknown,M,Unknown,N,unknown,"R. McKenzie, Sunday Mail, 9/6/1987, p.11",1977-04-26,1977.0
1977.04.21,Unprovoked,USA,Hawaii,"Ka'anapali, Maui",swimming,M,Unknown,N,unknown,"J. Borg, p.74; L. Taylor (1993), pp.104-105",1977-04-21,1977.0
1977.03.17,Unprovoked,SOUTH AFRICA,Western Cape Province,"Lappiesbaai Beach, Stilbaai",swimming,M,31,N,unknown,"R.J. Lund, M. Levine, GSAF; T. Wallett, pp.41-42",1977-03-17,1977.0
1977.03.13.c,Sea Disaster,AUSTRALIA,Queensland,Near Moreton Island in Moreton Bay,unknown,M,32,N,unknown,"Sunday Mail (QLD), 10/11/1992, p.109; A. Sharpe, pp.103-104",1977-03-13,1977.0
1977.03.13.b,Sea Disaster,AUSTRALIA,Queensland,Near Moreton Island in Moreton Bay,unknown,M,74,Y,unknown,"Sunday Mail (QLD), 10/11/1992, p.109; A. Sharpe, pp.103-104",1977-03-13,1977.0
1977.03.13.a,Sea Disaster,AUSTRALIA,Queensland,Near Moreton Island in Moreton Bay,unknown,M,45,Y,unknown,"Sunday Mail (QLD), 10/11/1992, p.109; A. Sharpe, pp.103-104",1977-03-13,1977.0
1977.02.26,Unprovoked,AUSTRALIA,New South Wales,"Kingscliffe Beach, south of Tweed Heads",unknown,M,24,N,unknown,"Ruston Daily Leader, 2/28/1977; A. Sharpe, p.86",1977-02-26,1977.0
1977.02.04,Invalid,AUSTRALIA,Victoria,Sorrento Back Beach,unknown,M,Unknown,Unknown,unknown,"The Age, 2/8/1977",1977-02-04,1977.0
1977.02.00,Unprovoked,NEW CALEDONIA,Unknown,I'le Ouen,unknown,Unknown,Unknown,N,unknown,W. Leander,1977-02-01,1977.0
1977.01.00,Unprovoked,MEXICO,Guerrero,La Playa Hornos (near Acapulco),swimming,M,Unknown,Y,unknown,"A.Resciniti, p.107",1977-01-01,1977.0
1976.12.29,Unprovoked,AUSTRALIA,Queensland,Caloundra,unknown,M,Unknown,N,unknown,"R. McKenzie, Sunday Mail, 9/6/1987, p.11",1976-12-29,1976.0
1976.12.18,Unprovoked,USA,California,"San Miguel Island, Santa Barbara County",diving,M,29,N,white shark,"D. Miller & R. Collier, R. Collier, pp.72-73; J. McCosker & R.N. Lea",1976-12-18,1976.0
1976.11.27,Unprovoked,SOUTH AFRICA,Western Cape Province,Clifton,unknown,M,19,N,white shark,"G. Spence, M. Levine,  P. Snydercombe, P. Schwartz,  Rousseau,  J. Wallace, R.M. Strover; T. Wallett, pp.42-47",1976-11-27,1976.0
1976.11.26,Invalid,AUSTRALIA,Queensland,Southport Bar,unknown,Unknown,Unknown,Unknown,unknown,"Courier-Mail, 10/2/1992, p.2",1976-11-26,1976.0
1976.11.25,Unprovoked,USA,Florida,"Delray Beach, Palm Beach County",surfing,M,19,N,unknown,"A. Brenneka; E. Pace; NY Times, 11/26/1976, I, p.18, col.6",1976-11-25,1976.0
1976.11.23,Invalid,SOUTH AFRICA,KwaZulu-Natal,Warner Beach,swimming,M,17,Unknown,unknown,Natal Mercury,1976-11-23,1976.0
1976.11.06,Provoked,SOUTH AFRICA,Western Cape Province,Macassar,fishing,Unknown,Unknown,N,white shark,"T. Wallett, p.37-38",1976-11-06,1976.0
1976.10.27,Boat,SOUTH AFRICA,Western Cape Province,Gordons Bay,unknown,Unknown,Unknown,N,white shark,"T. Wallett, p.32",1976-10-27,1976.0
1976.10.18,Unprovoked,USA,California,"Moonstone Beach, Humboldt County",surfing,M,25,N,white shark,"D. Miller & R. Collier, R. Collier, pp.70-71; J. McCosker & R.N. Lea",1976-10-18,1976.0
1976.10.06,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Cape St. Francis,surfing,M,20,N,white shark,"M. Levine, GSAF; J. Wallace,ORI; T. Wallett, p.40-41",1976-10-06,1976.0
1976.09.22,Sea Disaster,NEW CALEDONIA,Unknown,Sarcelle,unknown,Unknown,Unknown,N,unknown,W. Leander,1976-09-22,1976.0
1976.09.19,Unprovoked,AUSTRALIA,South Australia,"Point Lowly, north of Whyalla",unknown,M,27,N,unknown,"A. Sharpe, p.125",1976-09-19,1976.0
1976.09.17,Sea Disaster,HONG KONG,South China Sea 200 miles from Hong Kong,Unknown,unknown,M,Unknown,Y,unknown,"Daily Review, 9/21/1976",1976-09-17,1976.0
1976.09.12.b,Unprovoked,USA,Florida,"Jacksonville, Duval County",swimming,M,16,Y,unknown,"Washington Post, 9/24/1976",1976-09-12,1976.0
1976.09.12.a,Unprovoked,USA,Florida,"Jacksonville, Duval County",swimming,M,Unknown,Y,unknown,"Washington Post, 9/24/1976",1976-09-12,1976.0
1976.09.06,Unprovoked,USA,Florida,"Sebastian, Indian River County",surfing,M,15,N,tiger shark,P. Ferrer,1976-09-06,1976.0
1976.08.26,Unprovoked,USA,North Carolina,"Emerald Isle Pier (near Morehead City), Carteret County",surfing,M,23,N,unknown,"C. Creswell, GSAF; F. Schwartz, p.23",1976-08-26,1976.0
1976.08.24,Unprovoked,USA,Oregon,Winchester Bay,surfing,M,19,N,white shark,"D. Miller & R. Collier; R. Collier, pp.69-70; J. McCosker & R.N. Lea      ",1976-08-24,1976.0
1976.07.24,Unprovoked,USA,Florida,St. Lucie County,spearfishing,M,24,N,unknown,"News-Tribune, 7/27/1976",1976-07-24,1976.0
1976.07.21,Unprovoked,USA,Louisiana,Scofield - Sandy Point,playing,M,10,N,unknown,"Amarillo Globe-Times, 7/22/1976",1976-07-21,1976.0
1976.07.16,Unprovoked,USA,Hawaii,"Maha'ulepu, Koloa, Kaua'i",diving,M,18,Y,unknown,"The Argus, 7/19/1976; J. Borg, p.74; L. Taylor (1993), pp.102-103",1976-07-16,1976.0
1976.07.12,Unprovoked,USA,Florida,St. Lucie County,spearfishing,M,23,N,unknown,"News-Tribune, 7/27/1976",1976-07-12,1976.0
1976.06.23,Unprovoked,USA,Florida,"St. Andrews State Park, Bay County",unknown,M,17,N,unknown,"Albuquerque Journal, 6/25/1976 ",1976-06-23,1976.0
1976.06.10,Unprovoked,USA,Hawaii,"Kama'ole Beach, Park No. 1, Kihei, Maui",swimming,M,Unknown,N,unknown,"J. Borg, p.74; L. Taylor (1993), pp.102-103",1976-06-10,1976.0
1976.06.02.R,Provoked,ITALY,Reggio Calabria Province,Bovalino,fishing,M,46,N,unknown,"C. Moore, GSAF",1976-06-02,1976.0
1976.06.01,Boat,AUSTRALIA,Queensland,Off Stradbroke Island,sitting,F,Unknown,N,unknown,"A. Sharpe, p.103",1976-06-01,1976.0
1976.05.02,Boat,SOUTH AFRICA,Western Cape Province,40 km off Cape Point,unknown,Unknown,Unknown,N,mako shark,"The Argus, 5/3/1976",1976-05-02,1976.0
1976.04.28,Invalid,USA,Texas,Galveston Island,unknown,Unknown,Unknown,Unknown,unknown,"NY Times 4/30/1976, p.14, col.8",1976-04-28,1976.0
1976.03.12.b,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",standing,M,21,N,unknown,Winnipeg Free Press. 3/17/1976,1976-03-12,1976.0
1976.03.12.a,Boat,SOUTH AFRICA,Western Cape Province,Robberg Point,fishing,Unknown,Unknown,N,unknown,T. Wallett; GSAF,1976-03-12,1976.0
1976.03.09,Boat,SOUTH AFRICA,Western Cape Province,"2 km from Macassar, False Bay",unknown,Unknown,Unknown,N,white shark,"T. Wallett, p.31",1976-03-09,1976.0
1976.03.02,Boat,SOUTH AFRICA,Western Cape Province,"2 km from Macassar, False Bay",unknown,Unknown,Unknown,N,white shark,"T. Wallett, pp.30-31",1976-03-02,1976.0
1976.02.03,Boat,SOUTH AFRICA,Western Cape Province,False Bay,unknown,Unknown,Unknown,N,white shark,"T. Wallett, p.30",1976-02-03,1976.0
1976.01.13,Provoked,SOUTH AFRICA,Western Cape Province,Hartenbos,fishing,Unknown,Unknown,N,unknown,T. Wallett,1976-01-13,1976.0
1976.01.12,Unprovoked,AUSTRALIA,Queensland,Harvey Bay,unknown,F,Unknown,N,unknown,"R. McKenzie, Coast Sun, 9/6/1987, p.11",1976-01-12,1976.0
1976.01.11,Provoked,SOUTH AFRICA,Western Cape Province,Kalk Bay,fishing,Unknown,Unknown,N,white shark," T. Wallett, p.30",1976-01-11,1976.0
1976.01.08,Unprovoked,USA,Florida,"Off Fort Pierce, St Lucie County",spearfishing,M,25,N,unknown,"Naples Daily News, 1/9/1976",1976-01-08,1976.0
1976.01.02,Unprovoked,NEW ZEALAND,North Island,"Te Kaha, East coast",spearfishing,M,Unknown,Y,whaler shark,"R.D. Weeks, GSAF; New Zealand Herald, 3/3/2001",1976-01-02,1976.0
1976.00.00.b,Unprovoked,USA,Hawaii,"Off Lahaina, Maui",diving,M,Unknown,Y,unknown,"J. Borg, p.74; L. Taylor (1993), pp.104-105",1976-01-01,1976.0
1975.12.29,Boat,AUSTRALIA,South Australia,Glenelg,attempting,Unknown,Unknown,N,unknown,"A. Sharpe, p.125",1975-12-29,1975.0
1975.12.06,Unprovoked,USA,California,Farallon Islands,diving,M,27,N,white shark,"D. Miller & R. Collier, R. Collier, pp.67-69; J. McCosker & R.N. Lea; NY Times, 12/7/1975, p.30, col.1",1975-12-06,1975.0
1975.12.02,Provoked,AUSTRALIA,New South Wales,"Porpoise Pool, Tweed Heads",unknown,M,35,N,nurse shark,"J. Green, p.36",1975-12-02,1975.0
1975.11.19.b,Unprovoked,AUSTRALIA,New South Wales,"Queenscliff, Sydney",standing,M,20,N,unknown,"The Age, 11/20/1975",1975-11-19,1975.0
1975.11.19.a,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"South Beach, Durban",standing,M,33,N,unknown,"G. Charter, B. Davis,  NSB",1975-11-19,1975.0
1975.11.07,Unprovoked,AUSTRALIA,Queensland,Lookout Point,unknown,M,Unknown,N,unknown,"R. McKenzie, Sunday Mail, 3/27/1994, p.107",1975-11-07,1975.0
1975.11.02,Unprovoked,USA,Florida,"Crescent Beach, St. Johns County",surfing,M,18,N,unknown,"NY Times, 11/6/1975, p.8",1975-11-02,1975.0
1975.10.21,Invalid,USA,New Jersey,"Sandy Hook, Monmouth County",fishing,M,Unknown,Unknown,unknown,"J. Stone; Asbury Park Press, 10/22/1975",1975-10-21,1975.0
1975.10.12,Unprovoked,AUSTRALIA,New South Wales,"Lennox Head, Ballina",surfing,M,20,N,unknown,"J. Green, p.36",1975-10-12,1975.0
1975.10.04,Invalid,USA,California,"Seal Beach, Orange County",surfing,Unknown,Unknown,Unknown,unknown,Unconfirmed Report,1975-10-04,1975.0
1975.09.00,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Richards Bay,unknown,M,21,N,unknown,"G. Charter, NSB",1975-09-01,1975.0
1975.08.17,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Cape St. Francis,surfing,M,19,N,white shark,"D. Robertson, M. Levine, GSAF;  J. Wallace, ORI; T. Wallett, p.40",1975-08-17,1975.0
1975.08.12,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",floating,M,20,N,unknown,"NY Times, 8/17/1975, p.27",1975-08-12,1975.0
1975.08.09,Unprovoked,USA,California,"Usal Creek, Bear Harbor, Mendocino County",diving,M,44,N,white shark,"D. Miller & R. Collier, R. Collier, pp.65-67; J. McCosker & R.N. Lea",1975-08-09,1975.0
1975.08.04,Unprovoked,HONG KONG,Mirs Bay ,Unknown,swimming,M,24,N,unknown,"Corpus Christi Times, 8/4/1975",1975-08-04,1975.0
1975.07.30.b,Sea Disaster,USA,Oregon,Unknown,unknown,F,62,Y,unknown,"Times, 8/1/1975, Yuma Daily Sun, 8/1/1975 ",1975-07-30,1975.0
1975.07.30.a,Unprovoked,AUSTRALIA,Tasmania,"Fluted Cape, Bruny Island",diving,M,37,Y,white shark,"Times, 8/1/1975, Yuma Daily Sun, 8/1/1975; C. Black pp. 153-157 ",1975-07-30,1975.0
1975.07.26.b,Unprovoked,USA,Florida,"Off Hutchinson Island, St Lucie County",diving,M,24,N,unknown,"News-Tribune, 7/28/1975",1975-07-26,1975.0
1975.07.26.a,Unprovoked,AUSTRALIA,Queensland,Maroochydore,surfing,M,21,N,unknown,"Bucks County Courier Times, 7/28/1975; Sunday Mail (QLD), 1//7/1996,p.4; J. Green, p.36",1975-07-26,1975.0
1975.07.23,Unprovoked,USA,California,"Perch Rock, Point Conception, Santa Barbara County",diving,M,23,N,white shark,"D. Miller & R. Collier; R. Collier, pp.64-65; G. Ambrose, pp.103 & 112      ",1975-07-23,1975.0
1975.07.19,Unprovoked,USA,California,"Point Conception, Santa Barbara County",diving,M,34,N,white shark,R. Collier,1975-07-19,1975.0
1975.07.15,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",swimming,F,14,N,unknown,"E. Ritter, GSAF",1975-07-15,1975.0
1975.07.05,Provoked,AUSTRALIA,Western Australia,"15 km north of Lancelin, north of Perth",spearfishing,M,29,N,whaler shark,"Washington Post, 7/7/1975",1975-07-05,1975.0
1975.07.04,Unprovoked,USA,Florida,"Indiatlantic, Brevard County",surfing,M,16,N,unknown,"NY Times, 7/6/1975, p.5",1975-07-04,1975.0
1975.06.23.b,Unprovoked,USA,South Carolina,"Windy Hill, near Myrtle Beach, Horry County",swimming,M,18,N,unknown,"Morning Herald (Uniontown, PA), 7/2/1975",1975-06-23,1975.0
1975.06.23.a,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",standing,F,15,N,unknown,"Morning Herald (Uniontown, PA), 6/26/1975",1975-06-23,1975.0
1975.06.15,Unprovoked,USA,Alabama,5 miles off the coast,swimming,M,27,N,unknown,"The News, 6/16/1975",1975-06-15,1975.0
1975.06.02.R,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",surfing,M,20,N,unknown,"Sarasota Herald Tribune, 6/2/1975",1975-06-02,1975.0
1975.06.00.c,Provoked,USA,Florida," New Smyrna Beach, Volusia County",unknown,M,Unknown,N,unknown,undated press clipping - see 1975.06.00.b,1975-06-01,1975.0
1975.05.25,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,M,17,N,unknown,"Sumter Daily Item, 7/9/1975",1975-05-25,1975.0
1975.05.20,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",bathing,F,10,N,unknown,"Pacifc Stars and Stripes, 6/3/1975",1975-05-20,1975.0
1975.04.25,Invalid,ITALY,Genoa Province,Cervara,diving,M,37,Unknown,unknown,"C. Moore, GSAF",1975-04-25,1975.0
1975.04.18,Invalid,SOUTH AFRICA,KwaZulu-Natal,Durban,unknown,M,Unknown,Unknown,unknown,"B. Davis, NSB",1975-04-18,1975.0
1975.04.05,Unprovoked,SOUTH AFRICA,Western Cape Province,Millers Point,spearfishing,M,Unknown,N,white shark,"Cape Times, 4/7/1975",1975-04-05,1975.0
1975.03.29,Invalid,SOUTH AFRICA,KwaZulu-Natal,Tongaat,swimming,M,Unknown,Unknown,unknown,"B. Davis, Natal Sharks Board",1975-03-29,1975.0
1975.03.18,Unprovoked,AUSTRALIA,Queensland,Mornington Island,unknown,F,Unknown,N,unknown,"R. McKenzie, Sunday Mail, 9/6/1987, p.11",1975-03-18,1975.0
1975.03.16,Unprovoked,USA,Florida,"Clearwater Beach, Pinellas County",floating,M,14,N,unknown,"News Tribune, 5/17/1975",1975-03-16,1975.0
1975.03.13,Provoked,AUSTRALIA,Queensland,Southport Aquarium,diving,Unknown,18,N,whaler shark,"The Age, 3/14/1975",1975-03-13,1975.0
1975.03.09,Provoked,SOUTH AFRICA,Western Cape Province,"Boggomsbaai, Mossel Bay",attempting,M,Unknown,N,unknown,"M. Levine, GSAF",1975-03-09,1975.0
