Case Number,Month,Year,Type,Country,Area,Location,Activity,Injury,Fatal (Y/N),Time,Species ,Investigator or Source,pdf,URL Reference
1985.05.26,May,1985,Unprovoked,USA,California,"Long Beach, Los Angeles County","Surfing, but lying prone on his board",Leg injured,N,,Shark involvement not confirmed,"R. Collier, p.86",1985.05.26-Rodriquez_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1985.05.26-Rodriquez_Collier.pdf
1985.05.08,May,1985,Provoked,SOUTH AFRICA,KwaZulu-Natal,Umdhloti,Spearfishing,"After diver shot shark attempting to take his catch, shark bit right arm & tore wetsuit  PROVOKED INCIDENT",N,,30-kg [66-lb] shark,"M. Levine, GSAF",1985.05.08-Denge.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1985.05.08-Denge.pdf
1985.03.16,Mar,1985,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",Surfing,Hand bitten,N,,,"E. Pace, FSAF",1985.03.16-NV-Zarnowski.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1985.03.16-NV-Zarnowski.pdf
1985.03.03,Mar,1985,Unprovoked,AUSTRALIA,South Australia,"Wisemans Beach, Peake Bay, Port Lincoln",Free diving for scallops,FATAL,Y,12h30,6 m [20'] white shark,"A. MacCormick, pp.76-79; H. Edwards, p.155; A. Sharpe, pp.126-127; J. West, ASAF",1985.03.03-Durdin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1985.03.03-Durdin.pdf
1985.02.18,Feb,1985,Unprovoked,USA,California,"San Miguel Island, Santa Barbara County",Scuba Diving for lobster (at surface),Bruised,N,12h45,6 m [20'] white shark,"R. Collier, pp.95-96",1985.02.18-Massahos_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1985.02.18-Massahos_Collier.pdf
1985.02.03,Feb,1985,Unprovoked,USA,Florida,"15 miles north of Sebastian Inlet, Brevard County",Surfing,Right foot bitten,N,Afternoon,,"Miami Herald, 2/4/1985, p.6",1985.02.03-Mesiano.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1985.02.03-Mesiano.pdf
1985.01.27,Jan,1985,Unprovoked,SOUTH AFRICA,Western Cape Province,Struisbaai,Swimming,"Right knee, calf and ankle lacerated",N,18h30,Raggedtooth shark,"M. Botha, M. Levine, GSAF",1985.01.27-Botha.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1985.01.27-Botha.pdf
1985.01.18,Jan,1985,Invalid,SOUTH AFRICA,KwaZulu-Natal,Umzimkulu,,Probable drowning / scavenging,Y,,,"G. Cliff, NSB",1985.01.18-Base.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1985.01.18-Base.pdf
1985.01.17,Jan,1985,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umbogintwini,Surfing,Thigh & calf bitten,N,18h30,"3.5 m white shark, tooth fragments recovered","B. Eldridge, M. Levine, GSAF; G. Charter & B. Davis, NSB",1985.01.17-Eldridge.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1985.01.17-Eldridge.pdf
1985.01.16,Jan,1985,Boat,NEW ZEALAND,South Island,Christchurch,Investigating shark sighting,"No injury to occupant, shark bit boat",N,,6 m shark,"Courier-Mail, 1/17/1985",1985.01.16-McNally-boat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1985.01.16-McNally-boat.pdf
1985.01.04,Jan,1985,Unprovoked,SOUTH AFRICA,Western Cape Province,"Buffels Bay, False Bay",Spearfishing,Minor injury to torso,N,11h30,3.5 m [11.5'] white shark,"D. James, M. Levine, GSAF; G. Cliff, NSB",1985.01.04-DonJames.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1985.01.04-DonJames.pdf
1985.01.00.b,Jan,1985,Unprovoked,NEW CALEDONIA,South Province,Amedee Island,Spearfishing,Legs bitten,N,,Tiger shark,"W. Leander; Les Nouvelles Caledoniennes, 3/17/2000",1985.01.00.b-Mathelon.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1985.01.00.b-Mathelon.pdf
1985.01.00.a,Jan,1985,Provoked,SOUTH AFRICA,KwaZulu-Natal,Salt Rock,Spearfishing,Upper right arm bitten after he shot the shark PROVOKED INCIDENT,N,11h00,1.5 m [5'] dusky shark,"B. Coppin, M. Levine, GSAF",1985.01.00.a-Coppin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1985.01.00.a-Coppin.pdf
1985.00.00.f,Undetermined,1985,Unprovoked,VANUATU,Malampa Province,"Port Sandwich Bay, Lamap, Malakula",,FATAL,Y,,,S. Combs,1985.00.00.f-Vanuatu.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1985.00.00.f-Vanuatu.pdf
1985.00.00.a,Undetermined,1985,Unprovoked,IRAN,,"Ramin, near Ahvaz",Fishing,FATAL,Y,,Bull shark,B. Coad & F. Papahn,1985.00.00.a-Fisherman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1985.00.00.a-Fisherman.pdf
1984.12.03,Dec,1984,Boat,ITALY,Tyrrhenian Sea,"Marciana Marina, Isola d'Elba",Boat,No injury,N,,White shark,A. De Maddalena; F. Serena (pers. Comm.),1984.12.03-boat-Elba.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.12.03-boat-Elba.pdf
1984.11.30,Nov,1984,Unprovoked,AUSTRALIA,Queensland,1 km off Black's Beach,Sailing on catamaran & fell into the water,FATAL,Y,12h33,"Tiger shark, 4 m","Courier-Mail, 12/1/1984, p.1; A. Sharpe, p.106",1984.11.30-NicholasBos.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.11.30-NicholasBos.pdf
1984.11.11,Nov,1984,Unprovoked,USA,Florida,"Jupiter Island Beach, Martin County",Surfing,Left foot bitten,N,,1.2 m [4'] shark,"Miami Herald, 11/18/1984",1984.11.11-Stetson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.11.11-Stetson.pdf
1984.11.04,Nov,1984,Provoked,USA,Florida,"Fowey Rock, Key Biscayne",Spearfishing,"Speared shark bit diver's right knee, and lacerated right thigh & buttocks PROVOKED INCIDENT",N,,"""a small shark""","Miami Herald, 11/5/1984",1984.11.04-Ferro.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.11.04-Ferro.pdf
1984.10.21.b,Oct,1984,Invalid,USA,Florida,"Wabasso Beach, Indian River County",Swimming,"Disappeared, 1 mile from where Sandra Fletcher was bitten. Death was due to drowning",Y,14h00,,"Evening Independent, 10/24/1984, p.14;      E. Pace, FSAF",1984.10.21.b-Peebles.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.10.21.b-Peebles.pdf
1984.10.21,Oct,1984,Unprovoked,USA,Florida,"3 miles south of Sebastian Inlet State Park, Indian River County",Surfing or body surfing,"9"" laceration to right forearm",N,13h30,1.5 m [5'] shark,"Miami Herald, 10/24/1984, p.17A",1984.10.21.a-Fletcher.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.10.21.a-Fletcher.pdf
1984.10.17,Oct,1984,Invalid,USA,Florida,"Boynton Beach, Palm Beach County",Wading,"10"" laceration on leg",N,12h05,Shark involvement not confirmed; officials considered barracua,"Miami Herald, 10/18/1984,",1984.10.17-Dunn.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.10.17-Dunn.pdf
1984.10.14.a,Oct,1984,Unprovoked,USA,Florida,"Bob Graham Beach, Martin County",Surfing,Left calf bitten,N,15h00,1.2 m [4'] blacktip shark,"Miami Herald, 10/16/1984",1984.10.14.a-Westberg.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.10.14.a-Westberg.pdf
1984.09.30.b,Sep,1984,Unprovoked,USA,Oregon,"""Turnaround"", Cape Kiwanda, Tillamook County",Surfing (sitting on his board),"Abrasion on right foot, board bitten",N,15h30,3 m to 5 m [10' to 16.5'] white shark,"R. Collier, pp.94-95",1984.09.30.b-Rice_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.09.30.b-Rice_Collier.pdf
1984.09.30.a,Sep,1984,Unprovoked,USA,California,"Tomales Point, Marin County","Free diving , but surfacing",Legs & buttocks bitten,N,10h00,3 m to 4 m [10' to 13']  white shark,"R. Collier, pp.93-94",1984.09.30.a-Parsons_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.09.30.a-Parsons_Collier.pdf
1984.09.23,Sep,1984,Unprovoked,USA,Florida,Volusia County,Surfing,Right foot bitten,N,14h00,,"Miami Herald, 9/26/1984, p.2D",1984.09.23-Miller.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.09.23-Miller.pdf
1984.09.22.b,Sep,1984,Unprovoked,USA,Florida,,Swimming,Left foot lacerated,N,,,"Miami Herald, 9/26/1984, p.2D",1984.09.22.b-ElderlyMale.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.09.22.b-ElderlyMale.pdf
1984.09.22.a,Sep,1984,Unprovoked,USA,Florida,"Indiatlantic, Brevard County",Surfing,Foot bitten,N,Morning,Hammerhead shark?+O2356,"Miami Herald, 9/26/1984, p.2D",1984.09.22.a-AnthonyCarter.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.09.22.a-AnthonyCarter.pdf
1984.09.19,Sep,1984,Unprovoked,USA,Florida,Volusia County,Swimming,No details,UNKNOWN,,,"Miami Herald, 9/26/1984, p.2D",1984.09.19-VolusiaCounty.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.09.19-VolusiaCounty.pdf
1984.09.17,Sep,1984,Unprovoked,USA,California,"Mission Beach, San Diego County",Wading,Arm bitten,N,15h30,small blue shark,"R. Collier, p.93",1984.09.17-Cramer_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.09.17-Cramer_Collier.pdf
1984.09.15,Sep,1984,Unprovoked,USA,California,"Pigeon Point, San Mateo County",Skindiving,FATAL,Y,08h30,4.5 m to 5 m white shark,"R. Collier, p. 72",1984.09.15-Conger_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.09.15-Conger_Collier.pdf
1984.09.11,Sep,1984,Provoked,MEXICO,Baja California,Guadalupe Island,Spearfishing,"No Injury, PROVOKED INCIDENT",N,17h50,4.5 m to 5.5m white shark,R. Collier,1984.09.11-Ingram.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.09.11-Ingram.pdf
1984.08.24,Aug,1984,Invalid,USA,Florida,"Off Crystal River, Citrus County",Boat capsized?,Death was due to drowning; body scavenged by a shark,Y,,Tiger shark,"St. Petersburg Times, 11/20/1984",1984.08.24-Washington.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.08.24-Washington.pdf
1984.08.07,Aug,1984,Unprovoked,INDONESIA,,Bali,"Sea disaster, foundering of the cargo vessle M/V Dorolonda",FATAL,Y,,,"Courier Mail, 8/15/1984",1984.08.07-Dorolonda.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.08.07-Dorolonda.pdf
1984.07.24.b,Jul,1984,Unprovoked,USA,Texas,South Padre Island,Swimming,Lacerations on right foot,N,14h30,,"A. MacCormick, pp.8-9",1984.07.24.b-girl.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.07.24.b-girl.pdf
1984.07.24.a,Jul,1984,Unprovoked,USA,Texas,South Padre Island,Swimming,Legs severely lacerated,N,12h00,1.2 m [4'] shark,"A. MacCormick, pp.8-9",1984.07.24.a-Gaytan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.07.24.a-Gaytan.pdf
1984.07.22,Jul,1984,Invalid,SOUTH AFRICA,Western Cape Province,Cape Point,Spearfishing,"FATAL, but shark involvement prior to death could not be determined",Y,11h00,,"P. Landsberg, M.D.",1984.07.22-Hayman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.07.22-Hayman.pdf
1984.07.01,Jul,1984,Unprovoked,USA,Florida,,"During a shark fishing tournament, the 18' Boatem was capsized by waves, throwing 3 men into the water",Leg abraded,N,18h00,,"New Orleans Times-Picayune, 3 July 1984; A. MacCormick, p.109-110",1984.07.01-McConnell.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.07.01-McConnell.pdf
1984.07.00.a,Jul,1984,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Sodwana,Spearfishing,"No injury, shark hit swim fin",N,,Raggedtooth shark,"R O'Connor, M. Levine, GSAF",1984.07.00-O'Connor.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.07.00-O'Connor.pdf
1984.06.15,Jun,1984,Unprovoked,SOUTH AFRICA,Western Cape Province,"Muizenberg, False Bay",Surfing,"No injury, board bitten",N,17h30,2.4 m [8'] white shark,"The Argus, 6/16/1984",1984.06.15-Doran.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.06.15-Doran.pdf
1984.06.03.b,Jun,1984,Unprovoked,USA,Hawaii,"Kane'ohe Bay, O'ahu",Towing her sister on plastic ski board,Foot bitten,N,17h00,1.2 m to 1.5 m [4' to 5'] hammerhead shark,"J. Borg, p.76; L. Taylor (1993), pp.106-107",1984.06.03.b-Buecher.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.06.03.b-Buecher.pdf
1984.06.03,Jun,1984,Unprovoked,VANUATU,Malampa Province,"Atchin Island, off Malakula",Swimming,FATAL,Y,,,"Telegraph, 6/8/1984, p.12",1984.06.03-Brem.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.06.03-Brem.pdf
1984.05.31,May,1984,Unprovoked,SOUTH AFRICA,Western Cape Province,Arniston,Spearfishing,Swim fin bitten,N,13h30,,"A. Bosman, M. Levine, GSAF",1984.05.31-Bosman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.05.31-Bosman.pdf
1984.03.17,Mar,1984,Invalid,SOMALIA,,,Murder,Forced at gunpoint to jump overboard. Presumed fatal; shark involvement probable but not confirmed,Y,,,"Courier Mail, 5/18/1984",1984.03.17-Eleven-stowaways.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.03.17-Eleven-stowaways.pdf
1984.03.14,Mar,1984,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,Surfing,"No injury, 8 pressure dings in surboard",N,17h30,,"G. Charter, NSB; M. Levine, GSAF",1984.03.14-Benvick.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.03.14-Benvick.pdf
1984.03.10,Mar,1984,Boat,SOUTH AFRICA,Eastern Cape Province,Swartkops River mouth,Rowing,"No injury to occupant, shark seized oar and disappeared with it.",N,,2.5 m [8.25'] shark,"M. Levine, GSAF",1984.03.10-Beyers.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.03.10-Beyers.pdf
1984.03.01,Mar,1984,Unprovoked,AUSTRALIA,Western Australia,Coral Bay,,No details,UNKNOWN,,,"T. Peake, GSAF",1984.03.01-NV-Greenwood.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.03.01-NV-Greenwood.pdf
1984.02.18,Feb,1984,Provoked,SOUTH AFRICA,Eastern Cape Province,"Paradise Beach, Jeffreys Bay",Fishing,Leg lacerated by hooked shark PROVOKED INCIDENT,N,Night,"Raggedtooth shark, 56-kg [123-lb]","M. Levine, GSAF; Eastern Province Herald, 6/28/1986",1984.02.18-Melville.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.02.18-Melville.pdf
1984.02.17,Feb,1984,Provoked,SOUTH AFRICA,KwaZulu-Natal,"Shark tank at Oceanographic Research Insitute, Durban",Scuba diving,Punctures in wetsuit & left arm bruised by captive shark PROVOKED INCIDENT,N,09h00,1.5 m [5'] dusky shark,"G. Buckland, M. Levine, GSAF",1984.02.17-Buckland.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.02.17-Buckland.pdf
1984.02.12,Feb,1984,Invalid,SOUTH AFRICA,Eastern Cape Province,St. Georges Strand,,"Human remains recovered, evidence of scavenging by shark/s",Y,,,"G. Charter, NSB",1984.02.12-StGeorgesStrand.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.02.12-StGeorgesStrand.pdf
1984.02.11,Feb,1984,Unprovoked,AUSTRALIA,Queensland,Derwent Island,Spearfishing,Hand bitten,N,,1.5 m white-tipped reef shark,"Courier-Mail, 2/14/1984, p.3",1984.02.11-Pearce.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.02.11-Pearce.pdf
1984.01.05,Jan,1984,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port Alfred,Swimming,Foot bitten,N,09h30,"Raggedtooth shark, 1 m","R. Tennent, M. Levine, Dr. Dempers & K. Reynolds",1984.01.05-Tennent.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.01.05-Tennent.pdf
1984.01.04,Jan,1984,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umlaas Canal,,Remains recovered 1-4-1984 showed evidence of defense wounds,Y,,,"G. Charter, B. Davis & G. Cliff, NSB",1984.01.04-UmlaasCanal.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.01.04-UmlaasCanal.pdf
1984.00.00.b,Undetermined,1984,Provoked,USA,California,San Francisco,Steinhart Aquarium,Head mouthed by captive shark PROVOKED INCIDENT,N,,Sevengill shark,D.C. Reed,1984.00.00.b-Reed.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.00.00.b-Reed.pdf
1984.00.00.a,Undetermined,1984,Unprovoked,USA,Florida,"Indiatlantic, Brevard County",Surfing,Right foot bitten,N,,,"M. Vosburgh, Orlando Sentinel, 5/28/1988",1984.00.00.a-Schwarze.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1984.00.00.a-Schwarze.pdf
1983.12.30,Dec,1983,Invalid,GREECE,Andikira Fokithes,,Spearfishing,"Coroner determined the man was killed by a boat propeller, not a tiger shark",Y,02h45,,"Miami Herald, 1/4/1984; M. Bardanis",1983.12.30-Chrysafis.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.12.30-Chrysafis.pdf
1983.12.25,Dec,1983,Unprovoked,USA,Florida,"Riviera Beach, Palm Beach County",Surfing,Left foot & thigh bitten,N,15h30,,"Palm Beach Post, 12/26/1983",1983.12.25-Herrin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.12.25-Herrin.pdf
1983.12.24,Dec,1983,Unprovoked,AUSTRALIA,South Australia,"Dangerous Reef, South Neptune Island",Scuba diving for abalone,Fingers bitten,N,,12' white shark,"T. Peake, GSAF",1983.12.24-Williams.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.12.24-Williams.pdf
1983.12.22,Dec,1983,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Great Fish River,Swimming,"Left calf, ankle & foot lacerated",N,12h30,,"C. Biggs, M. Levine, J. Mansfield, Dr. T. Counihan & Dr. Clement",1983.12.22-Biggs.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.12.22-Biggs.pdf
1983.12.21,Dec,1983,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,Swimming,Shin lacerated,N,08h15,"Raggedtooth shark, >1 m","R. Horn, East London Aquarium;  J. Heydenrych, M.Levine, GSAF",1983.12.21-Heydenrych.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.12.21-Heydenrych.pdf
1983.12.07,Dec,1983,Invalid,SOUTH AFRICA,KwaZulu-Natal,LaMercy,,"Two feet found in shark, postmortem scavenging",N,,"1.74 m, 116-kg Zambesi shark","R.B. Wilson , G. Cliff, B. Davis & G. Charter, NSB",1983.12.07-feet.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.12.07-feet.pdf
1983.11.21,Nov,1983,Sea Disaster,PHILIPPINES,Central Philippines,,Ferry boat sank,Left foot nipped,N,,.5 m shark,"Montreal Gazette, 11/28/1983",1983.11.21-FerryDisaster.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.11.21-FerryDisaster.pdf
1983.11.10.R,Nov,1983,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,Laceration to left foot,N,,Tiger shark,"St. Petersburg Times, 11/10/1983",1983.11.10.R-Michael-Burns.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.11.10.R-Michael-Burns.pdf
1983.11.10,Nov,1983,Invalid,SOUTH AFRICA,KwaZulu-Natal,Tongaat,Swimming,Probable drowning and scavenging,Y,,,"R. Wilson, G. Cliff, Natal Sharks Board; GSAF",1983.11.10.a-Chanderpaul.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.11.10.a-Chanderpaul.pdf
1983.10.17.a,Oct,1983,Unprovoked,USA,Florida,"Stuart Beach, Martin County",Surfing,Puncture marks in leg & surfboard dinged,N,,1.5 m [5'] shark,"Miami Herald, 10/21/1983, p.1C",1983.10.17.a-Kalein.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.10.17.a-Kalein.pdf
1983.10.13,Oct,1983,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Wading,Lacerations to left ankle,N,,4.5' shark,"Daytona Beach Morning Journal, 10/21/1983",1983.10.13-Hundley.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.10.13-Hundley.pdf
1983.09.04,Sep,1983,Unprovoked,USA,Florida,"Off Lake Worth, Palm Beach County",Standing,Abrasions to leg,N,,,"E. Pace, FSAF",1983.09.04-Kolodny.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.09.04-Kolodny.pdf
1983.08.20.b,Aug,1983,Unprovoked,USA,Oregon,"Cape Kiwanda,Tillamook County",Surfing,"No injury, board bitten",N,10h00,White shark,"R.N. Lea & D. Miller; R. Collier, p.81",1983.08.20.b-RandyWeldon.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.08.20.b-RandyWeldon.pdf
1983.08.20.a,Aug,1983,Unprovoked,SOUTH AFRICA,Western Cape Province,"Seal Island, False Bay",Spearfishing,Inner thighs lacerated,N,10h00,5 m [16.5'] white shark,"A. Louw, M. Levine,  GSAF; G. Cliff, NSB",1983.08.20.a-Louw.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.08.20.a-Louw.pdf
1983.08.15,Aug,1983,Unprovoked,USA,Virginia,"Virginia Beach, Princess Anne County",Swimming,Foot bitten,N,Morning,Sand shark,"Washington Post, 8/16/1983",1983.08.15-Rendenbaugh.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.08.15-Rendenbaugh.pdf
1983.08.13.b,Aug,1983,Provoked,USA,Florida,"Riviera Beach, Palm Beach County",Skindiving,Hand abraded when he grabbed shark's tail PROVOKED INCIDENT,N,,Nurse shark,M. Vorenburg,1983.08.13.b-Goodman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.08.13.b-Goodman.pdf
1983.08.13.a,Aug,1983,Unprovoked,USA,Florida,"6 miles south of Boca Chica Key, Monroe County",Diving,Right leg severely bitten,N,Morning,6' to 8' bull shark,"Miami Herald, 8/14/1983, p.1D",1983.08.13.a-JackieLynn.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.08.13.a-JackieLynn.pdf
1983.08.06,Aug,1983,Boat,USA,Rhode Island,,Fishing,No injury to occupants,N,,,"Providence Journal, 8/7/1983",1983.08.06-RI-boats.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.08.06-RI-boats.pdf
1983.07.26,Jul,1983,Sea Disaster,AUSTRALIA,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",Swimming from the New Venture,"FATAL, shark seized her by the chest and took her underwater",Y,04h00,"Tiger shark, 5 m [16.5']","H. Edwards, pp. 103-104; A. MacCormick, pp.110-112",1983.07.26-Norton.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.07.26-Norton.pdf
1983.07.25.b,Jul,1983,Sea Disaster,AUSTRALIA,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",Swimming from the New Venture,"FATAL, shark bit leg, then dragged him underwater",Y,Night,"Tiger shark, 5 m [16.5']","H. Edwards, pp. 103-104; A. MacCormick, pp.110-112",1983.07.25.b-Murphy.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.07.25.b-Murphy.pdf
1983.07.25.a,Jul,1983,Sea Disaster,AUSTRALIA,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",14 m prawn trawler New Venture capsized  & sank in heavy seas Three people in the water,"Left knee bitten, but survived",N,Night,"Tiger shark, 5 m [16.5']","H. Edwards, pp.103-104; A. MacCormick, pp.110-112",1983.07.25.a-Boundy.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.07.25.a-Boundy.pdf
1983.07.15,Jul,1983,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Seal Point, Cape St. Francis",Surfing,Left arm injured by shark's tail as it swam beneath his board,N,,3 m to 4 m [10' to 13'] shark,"M. Levine, GSAF",1983.07.15-NV-Walkup.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.07.15-NV-Walkup.pdf
1983.07.12.b,Jul,1983,Unprovoked,USA,Florida,"Caloosahatchee River, Lee County",Windsurfing,Left ankle nipped (3 punctures wounds),N,Afternoon,3.5' hammerhead shark,"Miami Herald, 7/14/1983, p.12A",1983.07.12.b-Komito.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.07.12.b-Komito.pdf
1983.07.12.a,Jul,1983,Unprovoked,BAHAMAS,Abaco Islands,Green Turtle Cay,Spearfishing,Lacerations to left calf,N,12h00,,"Miami Herald, 7/13/1983, p.2D",1983.07.12.a-Gijsendorfer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.07.12.a-Gijsendorfer.pdf
1983.07.05,Jul,1983,Unprovoked,USA,Florida,"Riviera Beach, Palm Beach County",Floating on air mattress,"No injury, shark bit air mattress, deflating it",N,,,"E.Pace, FSAF",1983.07.05-Osterman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.07.05-Osterman.pdf
1983.06.29,Jun,1983,Unprovoked,USA,Florida,"Off 12th Street, Miami Beach",Swimming,Left foot bitten,N,11h00,,"Miami Herald, 6/30/1983,",1983.06.29-Rosen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.06.29-Rosen.pdf
1983.06.22,Jun,1983,Unprovoked,BAHAMAS,Abaco Islands,"Off Sandy Point, Great Abaco Island",Spearfishing,FATAL,Y,16h00,,"Chicago Tribune, 8/21/1983, p.B7",1983.06.22-Harth.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.06.22-Harth.pdf
1983.06.20,Jun,1983,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Surfing & dangling foot in water amid baitfish,Left foot lacerated,N,16h30,,"Miami Herald, 6/22/1983, p.2B",1983.06.20-Skinner.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.06.20-Skinner.pdf
1983.06.15,Jun,1983,Unprovoked,BAHAMAS,,Carter Cay,,Lacerations to hand & foot,N,11h00,6' blacktip shark,"E.  Pace, FSAF",1983.06.15-NV-Yost.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.06.15-NV-Yost.pdf
1983.06.15,Jun,1983,Invalid,ITALY,Northwest Italy,Riomaggiore (Ligura),Scuba diving,"No injury, shark ""harassed"" him at depth of 5 m",N,,3 m [10'] white shark,MEDSAF,1983.06.15-Piaviali.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1983.06.15-Piaviali.pdf
