date,month,year,type,country,activity,sex,age,fatal (y/n)
05-Jan-84,jan,1984,Unprovoked,SOUTH AFRICA,Swimming,M,14,N
04-Jan-84,jan,1984,Unprovoked,SOUTH AFRICA,,F,14,Y
30-Dec-83,dec,1983,Invalid,GREECE,Spearfishing,M,36,Y
25-Dec-83,dec,1983,Unprovoked,USA,Surfing,M,17,N
24-Dec-83,dec,1983,Unprovoked,AUSTRALIA,Scuba diving for abalone,M,48,N
22-Dec-83,dec,1983,Unprovoked,SOUTH AFRICA,Swimming,M,16,N
21-Dec-83,dec,1983,Unprovoked,SOUTH AFRICA,Swimming,M,47,N
07-Dec-83,dec,1983,Invalid,SOUTH AFRICA,,M,,N
21-Nov-83,nov,1983,Sea Disaster,PHILIPPINES,Ferry boat sank,M,,N
Reported      10-Nov-1983,nov,1983,Unprovoked,USA,Surfing,M,15,N
10-Nov-83,nov,1983,Invalid,SOUTH AFRICA,Swimming,F,,Y
17-Oct-83,oct,1983,Unprovoked,USA,Surfing,M,16,N
13-Oct-83,oct,1983,Unprovoked,USA,Wading,M,20,N
04-Sep-83,sep,1983,Unprovoked,USA,Standing,M,15,N
20-Aug-83,aug,1983,Unprovoked,USA,Surfing,M,,N
20-Aug-83,aug,1983,Unprovoked,SOUTH AFRICA,Spearfishing,M,29,N
15-Aug-83,aug,1983,Unprovoked,USA,Swimming,F,14,N
13-Aug-83,aug,1983,Provoked,USA,Skindiving,M,14,N
13-Aug-83,aug,1983,Unprovoked,USA,Diving,F,22,N
06-Aug-83,aug,1983,Boat,USA,Fishing,,,N
26-Jul-83,jul,1983,Sea Disaster,AUSTRALIA,Swimming from the New Venture ,F,21,Y
25-Jul-83,jul,1983,Sea Disaster,AUSTRALIA,Swimming from the New Venture ,M,24,Y
25-Jul-83,jul,1983,Sea Disaster,AUSTRALIA,14 m prawn trawler New Venture capsized  & sank in heavy seas Three people in the water,M,28,N
15-Jul-83,jul,1983,Unprovoked,SOUTH AFRICA,Surfing,M,,N
12-Jul-83,jul,1983,Unprovoked,USA,Windsurfing,F,39,N
08-Jul-83,jul,1983,Unprovoked,BAHAMAS,Spearfishing,M,13,N
05-Jul-83,jul,1983,Unprovoked,USA,Floating on air mattress,,17,N
29-Jun-83,jun,1983,Unprovoked,USA,Swimming,M,42,N
22-Jun-83,jun,1983,Unprovoked,BAHAMAS,Spearfishing,M,15,Y
20-Jun-83,jun,1983,Unprovoked,USA,Surfing & dangling foot in water amid baitfish,M,21,N
15-Jun-83,jun,1983,Unprovoked,BAHAMAS,,M,30,N
15-Jun-83,jun,1983,Invalid,ITALY,Scuba diving,M,,N
31-May-83,may,1983,Unprovoked,USA,Water-skiing,M,21,N
24-May-83,may,1983,Unprovoked,USA,Surfing,M,15,N
21-May-83,may,1983,Unprovoked,USA,Surfing,M,22,N
19-Apr-83,apr,1983,Unprovoked,USA,Surfing,M,,
12-Apr-83,apr,1983,Unprovoked,SOUTH AFRICA,Fishing,M,27,N
02-Apr-83,apr,1983,Unprovoked,USA,Surfing,M,16,N
02-Apr-83,apr,1983,Invalid,SOUTH AFRICA,,M,,N
30-Mar-83,mar,1983,Unprovoked,SOUTH AFRICA,Spearfishing,M,17,N
22-Mar-83,mar,1983,Unprovoked,SOUTH AFRICA,Surfing,M,,N
10-Mar-83,mar,1983,Unprovoked,USA,Surfing,M,,N
20-Feb-83,feb,1983,Unprovoked,SOUTH AFRICA,Paddleskiing,M,16,N
24-Jan-83,jan,1983,Provoked,USA,Fishing,M,43,N
15-Jan-83,jan,1983,Invalid,SOUTH AFRICA,,M,,Y
10-Jan-83,jan,1983,Unprovoked,SOUTH AFRICA,Windsurfing,M,22,N
08-Jan-83,jan,1983,Unprovoked,SOUTH AFRICA,Spearfishing,M,32,N
13-Oct-82,oct,1982,Unprovoked,USA,Windsurfing,M,26,N
30-Sep-82,sep,1982,Unprovoked,SOUTH AFRICA,Surfing,M,16,N
30-Sep-82,sep,1982,Unprovoked,SOUTH AFRICA,Surfing,M,16,N
27-Sep-82,sep,1982,Unprovoked,USA,Surfing,M,20,N
25-Sep-82,sep,1982,Unprovoked,USA,Diving,M,36,N
19-Sep-82,sep,1982,Unprovoked,USA,Free diving for abalone from Zodiac (submerged),M,28,N
04-Sep-82,sep,1982,Invalid,USA,,M,mid-20s,Y
29-Aug-82,aug,1982,Unprovoked,JAPAN,,M,,Y
29-Aug-82,aug,1982,Invalid,USA,Surfing,M,17,N
29-Aug-82,aug,1982,Unprovoked,SOUTH AFRICA,Swimming,F,18,N
31-Jul-82,jul,1982,Invalid,SOUTH AFRICA,Boogie boarding,M,20,N
24-Jul-82,jul,1982,Unprovoked,SOUTH AFRICA,Paddleskiing,M,38,N
24-Jul-82,jul,1982,Unprovoked,USA,Paddle Boarding,M,26,N
19-Jul-82,jul,1982,Unprovoked,USA,Swimming,M,17,N
 11-Jul-1982,jul,1982,Invalid,USA,Swimming,M,43,N
01-Jul-82,jul,1982,Unprovoked,USA,Swimming,F,19,N
29-Jun-82,jun,1982,Unprovoked,SOUTH AFRICA,Surfing,M,27,Y
26-Jun-82,jun,1982,Unprovoked,USA,Swimming,M,20,N
26-Jun-82,jun,1982,Unprovoked,BAHAMAS,Spearfishing ,M,19,N
  25-Jun-1982,jun,1982,Unprovoked,USA,,F,8,N
13-Jun-82,jun,1982,Unprovoked,USA,"Sailboarding, fell into water 100 yards outside the breakwater",M,,N
10-Mar-82,mar,1982,Unprovoked,USA,Surfing,M,16,N
07-Mar-82,mar,1982,Unprovoked,AUSTRALIA,Surfing,M,20,Y
28-Feb-82,feb,1982,Unprovoked,AUSTRALIA,Spearfishing,M,32,Y
27-Feb-82,feb,1982,Unprovoked,USA,Surfing,M,18,N
17-Feb-82,feb,1982,Provoked,SOUTH AFRICA,Fishing,M,,N
14-Feb-82,feb,1982,Unprovoked,USA,Wading,F,,N
14-Feb-82,feb,1982,Unprovoked,USA,Swimming,F,,N
13-Feb-82,feb,1982,Unprovoked,USA,Swimming,F,75,Y
07-Feb-82,feb,1982,Unprovoked,USA,Scuba diving (submerged),M,,N
07-Feb-82,feb,1982,Unprovoked,USA,Diving,M,29,Y
29-Jan-82,jan,1982,Unprovoked,SOUTH AFRICA,Swimming,M,20,N
19-Dec-81,dec,1981,Unprovoked,USA,Surfing,M,24,Y
13-Dec-81,dec,1981,Unprovoked,AUSTRALIA,,,,N
13-Dec-81,dec,1981,Unprovoked,USA,"Spearfishing, but swimming on surface",M,,N
30-Nov-81,nov,1981,Unprovoked,REUNION,Spearfishing,M,,N
19-Oct-81,oct,1981,Provoked,SOUTH AFRICA,Inspecting teeth of supposedly dead (hooked & shot) shark,M,,N
09-Nov-81,nov,1981,Unprovoked,USA,Diving to untangle a crab trap line from boat's propeller,M,59,N
19-Oct-81,oct,1981,Unprovoked,USA,Swimming,M,19,N
17-Oct-81,oct,1981,Unprovoked,USA,Surfing,M,,
16-Oct-81,oct,1981,Unprovoked,USA,Surfing,M,17,N
01-Oct-81,oct,1981,Unprovoked,USA,Surfing,M,24,N
28-Sep-81,sep,1981,Unprovoked,USA,Surfing,M,28,N
27-Sep-81,sep,1981,Unprovoked,USA,Surfing,,,N
15-Sep-81,sep,1981,Unprovoked,USA,Swimming,M,26,Y
03-Sep-81,sep,1981,Unprovoked,USA,Surfing,M,25,N
03-Sep-81,sep,1981,Unprovoked,USA,Surfing,M,24,N
29-Aug-81,aug,1981,Unprovoked,USA,Surfing,M,15,N
24-Aug-81,aug,1981,Provoked,USA,Spearfishing,M,19,N
24-Aug-81,aug,1981,Invalid,USA,Fishing,M,,Y
10-Aug-81,aug,1981,Unprovoked,USA,Diving,M,,N
10-Aug-81,aug,1981,Unprovoked,USA,"16' catamaran capsized previous night, occupants stayed with wreckage until morning, then attempted to swim ashore",F,19,Y
07-Aug-81,aug,1981,Unprovoked,BAHAMAS,Snorkeling on surface,M,53,N
20-Jul-81,jul,1981,Unprovoked,USA,Swimming,F,16,N
18-Jul-81,jul,1981,Unprovoked,SOUTH AFRICA,Surfing,M,32,N
07-Jul-81,jul,1981,Unprovoked,USA,Spearfishing,M,,N
01-Jul-81,jul,1981,Unprovoked,SOUTH AFRICA,Catching sardines,M,,N
Reported 15-Jun-1981,jun,1981,Boat,ENGLAND,Fishing,M,,N
12-Jun-81,jun,1981,Invalid,USA,,M,,Y
24-May-81,may,1981,Unprovoked,USA,"Scuba diving, reportedly also spearfishing",M,,Y
23-May-81,may,1981,Unprovoked,SOUTH KOREA,Shell diving,F,27,Y
20-May-81,may,1981,Unprovoked,SOUTH AFRICA,Surfing,M,27,N
19-May-81,may,1981,Unprovoked,USA,Free diving,M,32,N
16-May-81,may,1981,Unprovoked,USA,Diving,M,,N
10-May-81,may,1981,Unprovoked,SOUTH AFRICA,Surfing,M,19,N
07-May-81,may,1981,Provoked,NAMIBIA,Finning the shark that bit him,M,,N
08-Mar-81,mar,1981,Sea Disaster,BERMUDA,Foundering of the Israeli freighter Mezada,,,N
05-May-81,may,1981,Unprovoked,SOUTH AFRICA,Surfing,M,24,N
25-Mar-81,mar,1981,Unprovoked,USA,Standing / Wading,M,19,N
24-Mar-81,mar,1981,Unprovoked,USA,Surfing,M,24,N
04-Mar-81,mar,1981,Unprovoked,CHILE,Free diving Spearfishing,M,,N
19-Feb-81,feb,1981,Unprovoked,SOUTH AFRICA,Swimming,M,30,N
16-Feb-81,feb,1981,Unprovoked,AUSTRALIA,Exercising his dog in the shallows,M,,N
07-Feb-81,feb,1981,Unprovoked,AUSTRALIA,,,,
02-Feb-81,feb,1981,Unprovoked,USA,Surfing,M,15,N
30-Jan-81,jan,1981,Unprovoked,USA,Commercial spearfishing,M,25,N
01-Jan-81,jan,1981,Invalid,SOUTH AFRICA,Swimming,M,23,Y
26-Dec-80,dec,1980,Invalid,SOUTH AFRICA,,,,Y
24-Nov-80,nov,1980,Unprovoked,REUNION,Spearfishing,M,22,N
18-Nov-80,nov,1980,Unprovoked,AUSTRALIA,Swimming,M,,N
17-Nov-80,nov,1980,Invalid,SOUTH AFRICA,Swimming,M,,Y
11-Nov-80,nov,1980,Unprovoked,BRAZIL,Swimming,M,16,Y
27-Oct-80,oct,1980,Unprovoked,USA,Surfing,M,29,N
17-Oct-80,oct,1980,Unprovoked,USA,Surfing,M,19,N
Reported 22-Aug-1980,aug,1980,Unprovoked,MEXICO,Diving in tuna net,M,22,Y
10-Aug-80,aug,1980,Unprovoked,USA,Wading,F,10,N
04-Aug-80,aug,1980,Unprovoked,USA,Resting on body board,M,,N
26-Jul-80,jul,1980,Unprovoked,SPAIN,Skin diving,M,,N
27-Jul-80,jul,1980,Unprovoked,USA,Body surfing,M,15,N
23-Jul-80,jul,1980,Unprovoked,USA,Standing,F,22,N
26-Jun-80,jun,1980,Provoked,USA,Scuba diving,F,44,N
15-May-80,may,1980,Unprovoked,SOUTH AFRICA,Surfing,M,22,N
25-Apr-80,apr,1980,Provoked,JAMAICA,Spearfishing,M,,N
22-Apr-80,apr,1980,Sea Disaster,PHILIPPINES,Sinking of the ferryboat      Don Juan,,,Y
29-Mar-80,mar,1980,Unprovoked,SOUTH AFRICA,Free diving,M,52,Y
28-Mar-80,mar,1980,Unprovoked,BRAZIL,Swimming,M,,N
15-Mar-80,mar,1980,Sea Disaster,PHILIPPINES,Sinking of the ferryboat Bongbong 1,F,,Y
11-Mar-80,mar,1980,Provoked,SOUTH AFRICA,Fishing,M,61,N
31-Jan-80,jan,1980,Unprovoked,SOUTH AFRICA,Body boarding,M,24,N
25-Jan-80,jan,1980,Unprovoked,KENYA,Spearfishing,M,29,N
15-Jan-80,jan,1980,Provoked,SOUTH AFRICA,Spearfishing,M,29,N
13-Jan-80,jan,1980,Unprovoked,SOUTH AFRICA,Swimming,M,,N
10-Jan-80,jan,1980,Unprovoked,SOUTH AFRICA,Swimming,M,25,N
05-Jan-80,jan,1980,Unprovoked,CHILE,Hookah Diving,M,,Y
21-Dec-79,dec,1979,Unprovoked,SOUTH AFRICA,Swimming,M,18,N
05-Dec-79,dec,1979,Invalid,PORTUGAL,Spearfishing,M,19,Y
 01-Dec-1979,dec,1979,Unprovoked,SOUTH CHINA SEA,Diving,M,32,N
27-Nov-79,nov,1979,Unprovoked,USA,Surfing,M,20,N
12-Nov-79,nov,1979,Provoked,SOUTH AFRICA,Shark fishing,,,N
22-Oct-79,oct,1979,Provoked,SOUTH AFRICA,Fishing,M,,N
14-Sep-79,sep,1979,Unprovoked,AUSTRALIA,Scuba diving,M,18,N
28-Aug-79,aug,1979,Unprovoked,HONG KONG,Freedom swimming,M,21,Y
26-Aug-79,aug,1979,Unprovoked,HONG KONG,,M,16,Y
05-Aug-79,aug,1979,Unprovoked,USA,Kayaking,M,49,N
03-Aug-79,aug,1979,Unprovoked,THAILAND,Murdered by Thai pirates,M,,Y
19-Jun-79,jun,1979,Sea Disaster,USA,Floating with life preserver after his boat foundered,M,56,N
27-May-79,may,1979,Invalid,USA,Scuba diving,M,36,Y
05-May-79,may,1979,Provoked,SOUTH AFRICA,Spearfishing,M,25,N
03-May-79,may,1979,Unprovoked,SOUTH AFRICA,Scuba diving,M,,Y
08-Apr-79,apr,1979,Unprovoked,USA,Swimming,M,24,N
08-Apr-79,apr,1979,Unprovoked,USA,Body surfing,M,8,N
24-Mar-79,mar,1979,Unprovoked,USA,Surfing,M,27,N
11-Mar-79,mar,1979,Unprovoked,USA,Scuba diving (submerged),M,,N
01-Mar-79,mar,1979,Boat,SOUTH AFRICA,,,,N
21-Feb-79,feb,1979,Unprovoked,SOUTH AFRICA,"Surfing, collided with shark",M,19,N
29-Dec-78,dec,1978,Unprovoked,AUSTRALIA,,M, ,N
12-Dec-78,dec,1978,Unprovoked,SOUTH AFRICA,Spearfishing,M,23,Y
26-Nov-78,nov,1978,Unprovoked,USA,Surfing,M,,N
23-Nov-78,nov,1978,Unprovoked,USA,Surfing,M,17,N
21-Oct-78,oct,1978,Invalid,SOUTH AFRICA,Fishing,M,,Y
27-Sep-78,sep,1978,Unprovoked,SOUTH AFRICA,Spearfishing,M,27,N
16-Sep-78,sep,1978,Unprovoked,ITALY,Diving,M,,N
Reported 02-Sep-1978,sep,1978,Unprovoked,AUSTRALIA,Scuba diving for abalone,M,34,N
05-Aug-78,aug,1978,Unprovoked,USA,Wading,M,,N
Reported 01-Aug-1978,aug,1978,Unprovoked,USA,Floating on inner tube raft,M,27,N
27-Jul-78,jul,1978,Sea Disaster,USA,"Explosion destroyed 28' boat, survivors in the water ",M,39,N
19-Jul-78,jul,1978,Provoked,USA,Fishing,M,27,N
21-Jun-78,jun,1978,Unprovoked,USA,Surfing,M,20,N
21-Jun-78,jun,1978,Unprovoked,USA,Surfing,M,17,N
07-Jun-78,jun,1978,Invalid,ITALY,,,,N
02-Apr-78,apr,1978,Unprovoked,MARSHALL ISLANDS,Diving,M,25,N
02-Apr-78,apr,1978,Unprovoked,MARSHALL ISLANDS,Diving,M,23,N
05-Mar-78,mar,1978,Boat,SOUTH AFRICA,,,,N
28-Feb-78,feb,1978,Unprovoked,SOUTH AFRICA,Fishing for mackerel,,,N
19-Feb-78,feb,1978,Unprovoked,SOUTH AFRICA,Diving,M,,N
07-Jan-78,jan,1978,Unprovoked,SOUTH AFRICA,Surfing,M,17,N
06-Jan-78,jan,1978,Invalid,SOUTH AFRICA,,M,,Y
31-Dec-77,dec,1977,Sea Disaster,USA,"Swimming, after single-engine aircraft went down in the sea",M,49,N
19-Dec-77,dec,1977,Unprovoked,USA,Surfing,M,27,N
19-Dec-77,dec,1977,Unprovoked,SOUTH AFRICA,Surfing,M,18,N
12-Nov-77,nov,1977,Provoked,SOUTH AFRICA,Standing,M,,N
30-Oct-77,oct,1977,Unprovoked,SOUTH AFRICA,Spearfishing,M,25,N
31-Aug-77,aug,1977,Unprovoked,AUSTRALIA,Surfing,M,17,N
23-Aug-77,aug,1977,Unprovoked,AUSTRALIA,Floating on an inflatable raft,M,25,Y
19-Aug-77,aug,1977,Boat,SOUTH AFRICA,Fishing,M,,N
14-Aug-77,aug,1977,Unprovoked,USA,Free diving for abalone (surfacing),M,20,N
05-Aug-77,aug,1977,Invalid,USA,Wading,M,17,N
02-Jul-77,jul,1977,Sea Disaster,USA,40' fishing boat sank,M,21,N
26-Jun-77,jun,1977,Provoked,USA,Spearfishing / Scuba diving,M,27,N
06-Jun-77,jun,1977,Unprovoked,USA,Collecting fish from net,M,25,N
26-May-77,may,1977,Boat,SOUTH AFRICA,Fishing for yellowtail,M,,N
16-May-77,may,1977,Invalid,AUSTRALIA,,M,,N
26-Apr-77,apr,1977,Unprovoked,AUSTRALIA,,M,,N
21-Apr-77,apr,1977,Unprovoked,USA,Swimming,M,,N
17-Mar-77,mar,1977,Unprovoked,SOUTH AFRICA,Swimming,M,31,N
13-Mar-77,mar,1977,Sea Disaster,AUSTRALIA,"Their 9 m launch was run down by a 25,000-ton Japanese freighter  on the night of 3-11-1977 & they drifted, clinging to an icebox for 2 days",M,32,N
13-Mar-77,mar,1977,Sea Disaster,AUSTRALIA,"Their 9 m launch was run down by a 25,000-ton Japanese freighter  on the night of 3-11-1977 & they drifted, clinging to an icebox for 2 days",M,74,Y
13-Mar-77,mar,1977,Sea Disaster,AUSTRALIA,"Their 9 m launch was run down by a 25,000-ton Japanese freighter  on the night of 3-11-1977 & they drifted, clinging to an icebox for 2 days",M,45,Y
26-Feb-77,feb,1977,Unprovoked,AUSTRALIA,"Pushed surfmat of a young girl out of the shark's path, drawing shark's attention to his own board",M,24,N
04-Feb-77,feb,1977,Invalid,AUSTRALIA,,M,,Y
29-Dec-76,dec,1976,Unprovoked,AUSTRALIA,,M,,N
18-Dec-76,dec,1976,Unprovoked,USA,Hookah diving for abalone (submerged),M,29,N
27-Nov-76,nov,1976,Unprovoked,SOUTH AFRICA,"Thrashing the water / imitating the shark victim from ""Jaws""",M,19,N
26-Nov-76,nov,1976,Invalid,AUSTRALIA,,,,Y
25-Nov-76,nov,1976,Unprovoked,USA,Surfing,M,19,N
23-Nov-76,nov,1976,Invalid,SOUTH AFRICA,Swimming,M,17,N
27-Oct-76,oct,1976,Boat,SOUTH AFRICA,Boat,,,N
18-Oct-76,oct,1976,Unprovoked,USA,Surfing,M,25,N
06-Oct-76,oct,1976,Unprovoked,SOUTH AFRICA,Surfing,M,20,N
22-Sep-76,sep,1976,Sea Disaster,NEW CALEDONIA,Shipwreck,,,N
19-Sep-76,sep,1976,Unprovoked,AUSTRALIA,"Skindiving,",M,27,N
17-Sep-76,sep,1976,Sea Disaster,HONG KONG,"3,909-ton Panamanian freighter Chieh Lee sank in a typhoon",M,,Y
12-Sep-76,sep,1976,Unprovoked,USA,Swimming,M,16,Y
12-Sep-76,sep,1976,Unprovoked,USA,Swimming,M,,Y
06-Sep-76,sep,1976,Unprovoked,USA,Surfing,M,15,N
26-Aug-76,aug,1976,Unprovoked,USA,"Surfing, fell off surfboard",M,23,N
24-Aug-76,aug,1976,Unprovoked,USA,Surfing,M,19,N
24-Jul-76,jul,1976,Unprovoked,USA,Spearfishing,M,24,N
21-Jul-76,jul,1976,Unprovoked,USA,Playing,M,10,N
16-Jul-76,jul,1976,Unprovoked,USA,Scuba diving,M,18,Y
12-Jul-76,jul,1976,Unprovoked,USA,Spearfishing,M,23,N
23-Jun-76,jun,1976,Unprovoked,USA,Skindiving,M,17,N
10-Jun-76,jun,1976,Unprovoked,USA,Swimming,M,,N
Reported 02-Jun-1976,jun,1976,Provoked,ITALY,Fishing,M,46,N
01-Jun-76,jun,1976,Boat,AUSTRALIA,Sitting in bow of her father's 5 m boat,F,,N
02-May-76,may,1976,Boat,SOUTH AFRICA,Competing in a light tackle game fishing,,,N
28-Apr-76,apr,1976,Invalid,USA,,,,Y
12-Mar-76,mar,1976,Unprovoked,USA,Standing,M,21 or 26,N
12-Mar-76,mar,1976,Boat,SOUTH AFRICA,Fishing,,,N
09-Mar-76,mar,1976,Boat,SOUTH AFRICA,,,,N
02-Mar-76,mar,1976,Boat,SOUTH AFRICA,,,,N
03-Feb-76,feb,1976,Boat,SOUTH AFRICA,Shark watching,,,N
13-Jan-76,jan,1976,Provoked,SOUTH AFRICA,Shark fishing,,,N
12-Jan-76,jan,1976,Unprovoked,AUSTRALIA,,F,,N
11-Jan-76,jan,1976,Provoked,SOUTH AFRICA,Fishing for snoek & yellowtail,,,N
08-Jan-76,jan,1976,Unprovoked,USA,Spearfishing / scuba diving,M,25,N
02-Jan-76,jan,1976,Unprovoked,NEW ZEALAND,Spearfishing,M,,Y
29-Dec-75,dec,1975,Boat,AUSTRALIA,Attempting to drive shark away from the beach,,,N
06-Dec-75,dec,1975,Unprovoked,USA,Scuba diving & spearfishing,M,27,N
02-Dec-75,dec,1975,Provoked,AUSTRALIA,Filming & feeding captive sharks,M,35,N
19-Nov-75,nov,1975,Unprovoked,AUSTRALIA,Standing,M,20,N
19-Nov-75,nov,1975,Unprovoked,SOUTH AFRICA,Standing,M,33,N
07-Nov-75,nov,1975,Unprovoked,AUSTRALIA,,M,,N
02-Nov-75,nov,1975,Unprovoked,USA,Surfing,M,18,N
21-Oct-75,oct,1975,Invalid,USA,Surf fishing,M,,N
12-Oct-75,oct,1975,Unprovoked,AUSTRALIA,Surfing,M,20,N
04-Oct-75,oct,1975,Invalid,USA,Surfing,,,
17-Aug-75,aug,1975,Unprovoked,SOUTH AFRICA,Surfing,M,19,N
12-Aug-75,aug,1975,Unprovoked,USA,Floating on a small orange raft ,M,20,N
09-Aug-75,aug,1975,Unprovoked,USA,Free diving for abalone,M,44,N
04-Aug-75,aug,1975,Unprovoked,HONG KONG,Freedom swimming,M,24,N
30-Jul-75,jul,1975,Sea Disaster,USA,Sea disaster,F,62,Y
30-Jul-75,jul,1975,Unprovoked,AUSTRALIA,Scuba diving for abalone,M,37,Y
26-Jul-1975.b,jul,1975,Unprovoked,USA,Free diving,M,24,N
26-Jul-75,jul,1975,Unprovoked,AUSTRALIA,Surfing,M,21,N
23-Jul-75,jul,1975,Unprovoked,USA,Scuba diving for abalone (at surface),M,23,N
19-Jul-75,jul,1975,Unprovoked,USA,Hookah diving for abalone,M,34,N
15-Jul-75,jul,1975,Unprovoked,USA,Swimming,F,14,N
05-Jul-75,jul,1975,Provoked,AUSTRALIA,Spearfishing,M,29,N
04-Jul-75,jul,1975,Unprovoked,USA,Surfing,M,16,N
23-Jun-75,jun,1975,Unprovoked,USA,Swimming ,M,18,N
23-Jun-75,jun,1975,Unprovoked,USA,Standing,F,15,N
15-Jun-75,jun,1975,Unprovoked,USA,Swimming near his boat,M,27,N
Reported 02-Jun-1975,jun,1975,Unprovoked,USA,Surfing,M,20,N
25-May-75,may,1975,Unprovoked,USA,Surfing,M,17,N
20-May-75,may,1975,Unprovoked,USA,Bathing,F,10,N
25-Apr-75,apr,1975,Invalid,ITALY,Scuba diving,M,37,N
18-Apr-75,apr,1975,Invalid,SOUTH AFRICA,,M,,Y
05-Apr-75,apr,1975,Unprovoked,SOUTH AFRICA,Spearfishing Competition,M,,N
29-Mar-75,mar,1975,Invalid,SOUTH AFRICA,Swimming,M,,Y
18-Mar-75,mar,1975,Unprovoked,AUSTRALIA,,F,,N
16-Mar-75,mar,1975,Unprovoked,USA,Floating in inner tube,M,14,N
13-Mar-75,mar,1975,Provoked,AUSTRALIA,Diving & force-feeding the shark,,18,N
09-Mar-75,mar,1975,Provoked,SOUTH AFRICA,Attempting to drag hooked shark ashore by its tail,M,,N
23-Feb-75,feb,1975,Unprovoked,SOUTH AFRICA,Surfing,M,16,N
Reported 14-Feb-1975,feb,1975,Boat,SOUTH AFRICA,,,,N
10-Feb-75,feb,1975,Unprovoked,AUSTRALIA,Swimming underwater from crayfish cage to a fishing bait,M,12,Y
09-Feb-75,feb,1975,Unprovoked,AUSTRALIA,Crayfishing,M,45,N
07-Feb-75,feb,1975,Unprovoked,AUSTRALIA,,M,,N
01-Feb-75,feb,1975,Provoked,SOUTH AFRICA,Fishing,M,12,N
19-Jan-75,jan,1975,Unprovoked,AUSTRALIA,Surfing,M,17,Y
12-Dec-74,dec,1974,Unprovoked,AUSTRALIA,,,32,N
01-Nov-74,nov,1974,Unprovoked,USA,Standing,M,24,N
28-Sep-74,sep,1974,Unprovoked,USA,Surfing,M,17,N
14-Sep-74,sep,1974,Unprovoked,USA,Hookah diving for abalone,M,29,N
07-Sep-74,sep,1974,Unprovoked,ISRAEL,Swimming,F,20,N
02-Sep-74,sep,1974,Unprovoked,USA,Scuba diving (but on surface),M,41,N
02-Sep-74,sep,1974,Unprovoked,USA,Scuba diving (but on surface),M,48,N
01-Sep-74,sep,1974,Sea Disaster,AUSTRALIA,3.3 m fishing boat sank. Treveluwe & Peter Hodgson (wearing lifejackets) were drifting in the current,M,30,N
23-Aug-74,aug,1974,Unprovoked,HONG KONG,Freedom Swimming,M,22,N
16-Aug-74,aug,1974,Unprovoked,HONG KONG,Freedom swimming,M,,Y
16-Aug-74,aug,1974,Unprovoked,HONG KONG,Freedom swimming,M,19,N
16-Aug-74,aug,1974,Unprovoked,HONG KONG,Freedom swimming,M,18,N
10-Aug-74,aug,1974,Unprovoked,CROATIA,,M,21,Y
05-Aug-74,aug,1974,Unprovoked,USA,Surfing,M,,N
26-Jul-74,jul,1974,Unprovoked,USA,Free diving for abalone (submerged),M,36,N
20-Jul-74,jul,1974,Unprovoked,USA,Swimming,M,17,Y
02-Jul-74,jul,1974,Sea Disaster,USA,Adrift after the sinking of the motor yacht Princess Dianne,M,10,Y
20-Jun-74,jun,1974,Unprovoked,USA,Swimming,F,61,N
26-May-74,may,1974,Unprovoked,USA,Free diving (but on surface),M,45,N
Reported 25-Apr-1974,apr,1974,Sea Disaster,BRAZIL,Fishing boat swamped in a storm,M,,Y
20-Apr-74,apr,1974,Unprovoked,SOUTH AFRICA,Spearfishing,M,22,N
14-Apr-74,apr,1974,Unprovoked,SOUTH AFRICA,Standing,M,19,N
12-Apr-74,apr,1974,Unprovoked,USA,Swimming,F,11,N
04-Apr-74,apr,1974,Unprovoked,SOUTH AFRICA,Surfing,M,17,N
21-Mar-74,mar,1974,Unprovoked,SOUTH AFRICA,Surfing,M,21,N
13-Feb-74,feb,1974,Unprovoked,SOUTH AFRICA,Swimming,M,14,N
13-Feb-74,feb,1974,Unprovoked,SOUTH AFRICA,Swimming,M,19,N
13-Jan-74,jan,1974,Unprovoked,SOUTH AFRICA,Sitting,M,42,N
09-Jan-74,jan,1974,Unprovoked,AUSTRALIA,Diving for abalone,M,26,Y
07-Jan-74,jan,1974,Unprovoked,SOUTH AFRICA,Swimming,M,33,N
07-Jan-74,jan,1974,Unprovoked,MOZAMBIQUE,Swimming,M,,Y
07-Jan-74,jan,1974,Unprovoked,MOZAMBIQUE,Swimming,M,32,Y
25-Dec-73,dec,1973,Unprovoked,MOZAMBIQUE,Spearfishing,M,41,N
21-Dec-73,dec,1973,Unprovoked,MOZAMBIQUE,Swimming ,M,20,Y
Reported 18-Dec-1973,dec,1973,Unprovoked,PHILIPPINES,Swimming,M,19,Y
18-Dec-73,dec,1973,Unprovoked,USA,Swimming,M,,N
25-Nov-73,nov,1973,Unprovoked,AUSTRALIA,,,,N
24-Nov-73,nov,1973,Unprovoked,USA,Surfing,M,13,N
03-Nov-73,nov,1973,Unprovoked,AUSTRALIA,,,,N
29-Sep-73,sep,1973,Sea Disaster,SOUTH AFRICA,Being pulled to shore from wreck of 25-ton fishing vessel Alan S,,,Y
14-Sep-73,sep,1973,Unprovoked,BAHAMAS,"Free diving, Spearfishing",M,11,N
Reported 10-Sep-1973,sep,1973,Unprovoked,HONG KONG,Freedom Swimming,M,20,Y
09-Sep-73,sep,1973,Unprovoked,MEXICO,"Free diving, Spearfishing",M,37,Y
27-Aug-73,aug,1973,Unprovoked,AUSTRALIA,,,21,
